arabic | arb_Arab
amharic | amh_Ethi
bengali | ben_Beng
azerbaijani | azj_Latn
chinese_simplified | zho_Hans
burmese | mya_Mymr
chinese_traditional | zho_Hant
french | fra_Latn
english | eng_Latn
hausa | hau_Latn
gujarati | guj_Gujr
igbo | ibo_Latn
hindi | hin_Deva
indonesian | ind_Latn
japanese | jpn_Jpan
kyrgyz | kir_Cyrl
korean | kor_Hang
kirundi | run_Latn
nepali | npi_Deva
marathi | mar_Deva
pashto | pbt_Arab
oromo | gaz_Latn
persian | pes_Arab
pidgin | pcm_Latn
punjabi | pan_Guru
portuguese | por_Latn
russian | rus_Cyrl
serbian_latin | srp_Latn
serbian_cyrillic | srp_Cyrl
scottish_gaelic | gla_Latn
somali | som_Latn
sinhala | sin_Sinh
tamil | tam_Taml
swahili | swh_Latn
spanish | spa_Latn
thai | tha_Thai
telugu | tel_Telu
turkish | tur_Latn
tigrinya | tir_Ethi
ukrainian | ukr_Cyrl
uzbek | uzn_Latn
urdu | urd_Arab
welsh | cym_Latn
vietnamese | vie_Latn
yoruba | yor_Latn
