Model,Avg,eng_Latn-bjn_Arab,eng_Latn-hat_Latn,eng_Latn-sna_Latn,eng_Latn-npi_Deva,eng_Latn-ckb_Arab,eng_Latn-quy_Latn,eng_Latn-bug_Latn,eng_Latn-fra_Latn,eng_Latn-nso_Latn,eng_Latn-hau_Latn,eng_Latn-bod_Tibt,eng_Latn-zho_Hans,eng_Latn-guj_Gujr,eng_Latn-pan_Guru,eng_Latn-tel_Telu,eng_Latn-gle_Latn,eng_Latn-prs_Arab,eng_Latn-kab_Latn,eng_Latn-kac_Latn,eng_Latn-kan_Knda,eng_Latn-ben_Beng,eng_Latn-jav_Latn,eng_Latn-kam_Latn,eng_Latn-gaz_Latn,eng_Latn-mal_Mlym,eng_Latn-szl_Latn,eng_Latn-nob_Latn,eng_Latn-arb_Latn,eng_Latn-tam_Taml,eng_Latn-shn_Mymr,eng_Latn-vie_Latn,eng_Latn-wol_Latn,eng_Latn-lmo_Latn,eng_Latn-lug_Latn,eng_Latn-por_Latn,eng_Latn-tgl_Latn,eng_Latn-ajp_Arab,eng_Latn-kat_Geor,eng_Latn-tha_Thai,eng_Latn-khm_Khmr,eng_Latn-luo_Latn,eng_Latn-zho_Hant,eng_Latn-twi_Latn,eng_Latn-bho_Deva,eng_Latn-hye_Armn,eng_Latn-fur_Latn,eng_Latn-cym_Latn,eng_Latn-fao_Latn,eng_Latn-est_Latn,eng_Latn-afr_Latn,eng_Latn-cat_Latn,eng_Latn-ssw_Latn,eng_Latn-ltg_Latn,eng_Latn-sag_Latn,eng_Latn-vec_Latn,eng_Latn-kin_Latn,eng_Latn-als_Latn,eng_Latn-bel_Cyrl,eng_Latn-swe_Latn,eng_Latn-umb_Latn,eng_Latn-kmb_Latn,eng_Latn-dzo_Tibt,eng_Latn-pag_Latn,eng_Latn-fin_Latn,eng_Latn-bak_Cyrl,eng_Latn-nya_Latn,eng_Latn-knc_Arab,eng_Latn-mni_Beng,eng_Latn-ban_Latn,eng_Latn-mag_Deva,eng_Latn-cjk_Latn,eng_Latn-tpi_Latn,eng_Latn-epo_Latn,eng_Latn-tat_Cyrl,eng_Latn-som_Latn,eng_Latn-xho_Latn,eng_Latn-kas_Deva,eng_Latn-nld_Latn,eng_Latn-crh_Latn,eng_Latn-azb_Arab,eng_Latn-kbp_Latn,eng_Latn-deu_Latn,eng_Latn-sin_Sinh,eng_Latn-mri_Latn,eng_Latn-hun_Latn,eng_Latn-war_Latn,eng_Latn-kaz_Cyrl,eng_Latn-ita_Latn,eng_Latn-run_Latn,eng_Latn-srp_Cyrl,eng_Latn-acq_Arab,eng_Latn-kor_Hang,eng_Latn-awa_Deva,eng_Latn-srd_Latn,eng_Latn-gla_Latn,eng_Latn-kea_Latn,eng_Latn-kas_Arab,eng_Latn-mar_Deva,eng_Latn-hne_Deva,eng_Latn-aeb_Arab,eng_Latn-ltz_Latn,eng_Latn-ace_Arab,eng_Latn-tum_Latn,eng_Latn-lvs_Latn,eng_Latn-ron_Latn,eng_Latn-san_Deva,eng_Latn-fij_Latn,eng_Latn-lus_Latn,eng_Latn-arz_Arab,eng_Latn-mos_Latn,eng_Latn-glg_Latn,eng_Latn-pbt_Arab,eng_Latn-swh_Latn,eng_Latn-aka_Latn,eng_Latn-heb_Hebr,eng_Latn-ceb_Latn,eng_Latn-ind_Latn,eng_Latn-bos_Latn,eng_Latn-fon_Latn,eng_Latn-dyu_Latn,eng_Latn-ast_Latn,eng_Latn-ary_Arab,eng_Latn-smo_Latn,eng_Latn-slv_Latn,eng_Latn-rus_Cyrl,eng_Latn-dik_Latn,eng_Latn-zul_Latn,eng_Latn-mlt_Latn,eng_Latn-lao_Laoo,eng_Latn-snd_Arab,eng_Latn-lit_Latn,eng_Latn-sat_Olck,eng_Latn-mkd_Cyrl,eng_Latn-pap_Latn,eng_Latn-ces_Latn,eng_Latn-tso_Latn,eng_Latn-grn_Latn,eng_Latn-jpn_Jpan,eng_Latn-uzn_Latn,eng_Latn-azj_Latn,eng_Latn-bjn_Latn,eng_Latn-pes_Arab,eng_Latn-kik_Latn,eng_Latn-kir_Cyrl,eng_Latn-ewe_Latn,eng_Latn-kon_Latn,eng_Latn-ibo_Latn,eng_Latn-tzm_Tfng,eng_Latn-khk_Cyrl,eng_Latn-yue_Hant,eng_Latn-tsn_Latn,eng_Latn-lin_Latn,eng_Latn-mai_Deva,eng_Latn-slk_Latn,eng_Latn-tuk_Latn,eng_Latn-kmr_Latn,eng_Latn-tur_Latn,eng_Latn-bam_Latn,eng_Latn-dan_Latn,eng_Latn-nus_Latn,eng_Latn-asm_Beng,eng_Latn-ilo_Latn,eng_Latn-taq_Tfng,eng_Latn-ayr_Latn,eng_Latn-taq_Latn,eng_Latn-pol_Latn,eng_Latn-ukr_Cyrl,eng_Latn-zsm_Latn,eng_Latn-acm_Arab,eng_Latn-uig_Arab,eng_Latn-hin_Deva,eng_Latn-fuv_Latn,eng_Latn-plt_Latn,eng_Latn-knc_Latn,eng_Latn-bul_Cyrl,eng_Latn-bem_Latn,eng_Latn-yor_Latn,eng_Latn-isl_Latn,eng_Latn-oci_Latn,eng_Latn-ory_Orya,eng_Latn-eus_Latn,eng_Latn-apc_Arab,eng_Latn-mya_Mymr,eng_Latn-urd_Arab,eng_Latn-lij_Latn,eng_Latn-hrv_Latn,eng_Latn-lim_Latn,eng_Latn-amh_Ethi,eng_Latn-min_Latn,eng_Latn-ars_Arab,eng_Latn-sot_Latn,eng_Latn-nno_Latn,eng_Latn-ydd_Hebr,eng_Latn-sun_Latn,eng_Latn-arb_Arab,eng_Latn-lua_Latn,eng_Latn-tgk_Cyrl,eng_Latn-min_Arab,eng_Latn-scn_Latn,eng_Latn-tir_Ethi,eng_Latn-ell_Grek,eng_Latn-ace_Latn,eng_Latn-spa_Latn
emma-500-llama2-7b,15.58,2.56,25.35,12.57,18.85,16.21,1.14,0.70,42.26,15.58,19.23,0.12,22.31,21.99,22.31,20.71,24.99,18.94,2.44,1.42,21.99,13.67,24.77,0.66,0.75,22.32,12.72,30.83,0.26,18.97,0.35,31.96,2.28,6.23,2.04,42.85,30.75,23.70,23.76,20.36,11.19,1.64,17.52,5.73,11.93,25.65,20.16,41.21,19.78,23.60,42.60,37.69,3.92,11.36,1.15,10.28,6.39,30.43,20.66,38.85,0.27,0.22,0.10,9.42,19.87,8.02,8.06,0.51,10.68,7.93,14.47,0.11,8.31,37.38,14.43,12.29,12.93,2.33,27.17,3.96,2.27,2.24,33.07,14.31,15.35,20.59,15.55,17.43,27.92,3.12,30.78,22.19,11.00,11.95,24.01,19.05,2.34,8.99,17.60,12.95,17.64,25.05,2.06,4.27,22.10,34.01,2.05,8.90,2.88,20.76,0.11,32.18,6.59,29.09,6.14,29.31,29.91,38.34,29.49,0.54,0.18,26.10,13.21,14.58,26.86,30.01,0.67,17.20,41.64,14.35,19.50,20.80,1.87,33.05,24.96,28.46,5.37,5.03,15.21,19.41,14.50,19.81,20.70,1.41,14.44,6.19,2.21,12.88,0.49,11.63,20.91,8.98,9.72,14.01,27.13,4.21,10.40,14.12,1.06,39.67,0.27,8.37,6.28,0.21,0.72,0.26,22.86,28.20,33.66,20.54,12.34,22.88,0.13,21.09,0.49,35.69,1.11,5.83,25.33,24.33,14.83,18.36,22.63,7.49,18.99,17.29,26.83,12.43,9.82,19.81,27.02,14.38,30.57,32.59,20.13,27.89,0.76,23.66,2.61,17.35,1.86,22.67,6.30,26.94
Llama-2-7b-hf,4.62,0.06,0.81,0.21,0.43,0.06,0.21,0.19,40.20,0.13,0.14,0.01,15.69,0.45,0.34,0.55,0.97,2.57,0.05,0.13,0.75,0.67,0.92,0.14,0.08,0.39,3.37,26.86,0.49,0.36,0.04,25.55,0.16,1.72,0.11,40.07,5.48,2.59,1.68,1.77,0.05,0.14,15.25,0.15,0.94,0.77,3.31,1.33,2.55,2.23,19.77,33.28,0.20,0.59,0.13,2.50,0.18,1.41,1.33,35.29,0.08,0.13,0.01,0.89,16.53,0.11,0.19,0.32,0.09,0.87,1.33,0.08,0.71,3.71,0.14,0.28,0.34,0.30,23.84,0.41,0.09,0.05,30.22,0.11,0.79,16.84,0.85,0.15,25.32,0.13,21.95,2.88,7.99,1.45,2.14,1.31,2.49,0.11,0.63,0.73,2.35,1.75,0.06,0.17,0.82,29.88,0.14,0.38,0.39,2.40,0.05,13.82,0.08,0.58,0.13,2.00,1.71,28.51,20.49,0.04,0.11,10.61,1.19,0.22,14.98,25.69,0.07,0.28,2.11,0.06,0.06,1.59,0.14,7.92,2.70,22.95,0.15,0.16,13.07,0.20,0.51,1.32,2.97,0.13,0.17,0.06,0.16,0.13,0.07,0.11,16.38,0.10,0.16,0.56,7.32,0.12,0.23,3.22,0.09,32.02,0.08,0.14,0.48,0.05,0.12,0.07,20.49,24.28,17.87,2.75,0.05,4.01,0.09,0.29,0.16,26.39,0.22,0.15,1.83,8.64,0.11,0.75,2.30,0.03,0.70,2.18,17.99,5.68,0.05,1.78,3.43,0.14,16.95,0.40,1.42,3.31,0.12,0.14,0.07,1.97,0.02,4.68,0.29,25.26
Llama-2-7b-chat-hf,4.95,0.22,1.44,0.44,0.73,0.15,0.49,0.65,39.62,0.16,0.32,0.00,15.90,0.57,0.22,0.62,0.97,2.85,0.12,0.22,0.74,0.15,3.29,0.32,0.20,0.48,6.48,25.28,1.21,0.61,0.20,23.54,0.19,3.63,0.31,39.30,9.78,3.03,3.64,1.72,0.12,0.27,13.28,0.44,1.70,0.90,4.50,1.06,4.41,3.52,19.25,33.47,0.53,1.03,0.40,6.58,0.32,2.21,1.81,32.03,0.26,0.26,0.01,2.85,15.17,0.13,0.46,0.38,0.04,2.56,1.52,0.17,3.14,8.01,0.25,0.31,0.71,0.74,23.39,1.23,0.46,0.11,28.53,0.23,1.93,15.12,2.40,0.23,25.70,0.33,17.05,2.76,8.19,1.70,4.77,1.49,3.54,0.14,0.84,1.17,3.09,3.93,0.17,0.42,1.67,27.30,0.22,0.72,0.91,2.74,0.10,15.09,0.15,0.68,0.41,3.78,5.88,27.27,18.93,0.07,0.23,12.45,2.26,0.65,16.58,22.98,0.07,0.57,3.32,0.19,0.10,2.27,0.58,8.06,4.50,21.71,0.34,0.42,14.94,0.66,1.27,5.24,3.44,0.37,0.19,0.10,0.34,0.32,0.03,0.12,15.08,0.13,0.55,0.97,9.17,0.39,0.42,4.31,0.14,30.44,0.07,0.04,1.06,0.15,0.25,0.16,18.77,20.97,17.56,2.19,0.10,3.98,0.23,0.43,0.29,23.00,0.45,0.24,3.33,9.07,0.12,2.35,2.72,0.03,0.53,4.58,18.27,8.02,0.07,4.04,3.39,0.22,15.84,0.80,4.78,4.16,0.27,0.27,0.22,4.47,0.04,4.94,0.72,26.86
CodeLlama-7b-hf,4.27,0.09,0.54,0.10,0.42,0.18,0.14,0.13,38.30,0.10,0.13,0.03,18.40,1.20,0.48,0.76,0.90,2.74,0.06,0.26,0.62,1.36,1.50,0.11,0.05,0.57,1.91,20.11,0.24,0.56,0.16,13.10,0.11,2.47,0.10,39.88,3.05,2.06,1.43,4.06,0.09,0.12,13.11,0.18,0.52,1.38,1.88,2.79,2.81,3.18,16.25,32.14,0.17,0.70,0.12,3.82,0.09,3.31,1.73,34.05,0.08,0.07,0.07,1.65,7.43,0.08,0.12,0.38,0.16,0.56,0.65,0.07,1.14,6.70,0.20,0.16,0.25,0.12,23.47,0.44,0.10,0.11,28.43,0.19,0.42,12.93,1.85,0.33,24.59,0.08,19.22,2.33,7.35,0.72,2.13,0.28,1.27,0.09,0.32,0.47,1.59,3.07,0.16,0.12,2.39,27.28,0.04,0.21,0.40,1.54,0.07,17.80,0.10,0.42,0.17,2.95,2.12,17.67,16.21,0.05,0.08,11.74,0.92,0.28,13.91,24.20,0.11,0.19,2.50,0.16,0.05,2.28,0.73,8.16,1.41,21.07,0.13,0.15,8.73,0.56,0.95,1.93,3.74,0.14,0.27,0.10,0.13,0.19,0.25,0.19,12.70,0.10,0.13,0.29,10.37,0.17,0.25,6.90,0.08,29.75,0.19,0.15,1.03,0.40,0.12,0.09,19.42,22.57,12.59,1.63,0.27,1.80,0.13,0.37,0.12,24.17,0.12,0.17,2.76,10.16,0.26,0.95,1.99,0.05,0.53,2.05,17.24,5.17,0.02,1.09,2.96,0.12,12.93,1.22,0.71,3.40,0.07,0.18,0.10,2.13,0.02,5.28,0.34,25.63
LLaMAX2-7B,0.80,0.06,0.10,0.03,0.57,0.61,0.02,0.04,3.01,0.08,0.14,0.00,0.92,1.82,0.93,3.29,1.48,0.89,0.01,0.06,1.54,0.82,0.63,0.02,0.03,1.50,0.49,1.61,0.05,1.22,0.07,2.09,0.04,0.30,0.05,3.39,1.65,1.43,2.06,1.07,0.91,0.03,0.68,0.04,0.40,1.74,0.33,2.42,0.17,1.16,2.64,4.65,0.14,0.09,0.03,0.49,0.03,1.15,1.11,2.24,0.02,0.01,0.00,0.13,1.42,0.17,0.10,0.36,0.06,0.12,0.49,0.02,0.10,1.71,0.21,0.09,0.15,0.09,2.09,0.10,0.08,0.02,2.92,0.06,0.39,1.16,0.57,0.62,2.49,0.04,1.99,1.66,1.06,0.43,0.22,0.51,0.21,0.20,1.20,0.41,1.12,0.95,0.11,0.04,1.10,3.05,0.06,0.06,0.10,1.10,0.01,3.10,0.65,0.73,0.03,1.93,0.65,2.07,1.51,0.02,0.02,1.49,0.74,0.15,1.61,4.87,0.03,0.18,2.39,0.59,0.47,1.17,0.07,2.50,0.14,2.01,0.04,0.03,0.88,0.39,0.55,0.22,1.45,0.02,0.47,0.03,0.05,0.16,0.05,0.51,0.78,0.04,0.07,0.35,1.44,0.03,0.32,0.98,0.02,2.28,0.11,0.24,0.09,0.02,0.02,0.03,1.63,4.24,1.16,1.39,0.00,1.26,0.02,0.16,0.04,3.73,0.05,0.06,1.19,2.15,0.24,0.26,1.41,0.51,0.72,0.39,1.24,0.47,0.40,0.17,2.19,0.06,0.98,0.91,0.14,2.20,0.02,0.58,0.10,0.27,0.03,2.62,0.09,2.56
LLaMAX2-7B-Alpaca,12.51,0.26,14.55,9.85,18.99,8.13,0.32,0.39,43.25,5.06,14.75,0.01,24.66,18.75,17.01,19.97,22.42,17.13,0.11,0.22,17.05,19.82,19.19,0.19,0.60,16.11,9.19,32.20,0.38,14.15,0.03,32.57,0.53,3.12,1.20,43.29,27.86,23.04,21.54,11.03,10.72,0.25,19.16,0.36,8.88,25.24,5.43,34.73,6.81,20.71,42.02,38.47,2.94,2.74,0.21,5.42,1.72,17.52,20.14,40.63,0.13,0.20,0.01,2.27,21.02,0.66,11.98,0.50,0.37,4.12,11.93,0.11,1.19,28.93,2.26,9.47,9.87,1.60,28.34,2.88,0.55,0.08,34.19,0.94,15.00,22.83,11.51,13.64,29.09,0.43,29.16,22.64,14.78,12.66,6.66,5.91,5.25,0.89,15.93,12.00,17.85,20.73,0.21,2.68,23.75,36.23,0.59,0.77,0.68,18.15,0.09,32.65,9.58,26.63,0.32,26.46,24.93,36.19,27.70,0.06,0.12,24.07,13.27,2.22,25.87,29.47,0.22,10.13,34.79,9.52,11.22,21.51,0.12,32.56,4.07,29.31,0.36,0.19,20.53,12.03,13.73,2.51,21.77,0.20,10.68,0.23,1.20,9.51,0.12,7.38,22.11,3.07,5.62,7.36,28.00,0.20,10.46,17.61,0.16,40.38,0.23,8.63,1.57,0.05,0.13,0.15,24.69,28.71,34.39,21.50,0.12,25.62,0.38,5.19,0.25,35.75,0.53,1.40,21.56,27.99,10.07,5.52,20.77,7.42,18.43,3.95,25.67,7.01,6.85,1.09,26.93,3.23,23.08,15.79,7.36,27.82,0.30,15.20,0.27,4.79,0.50,24.97,0.52,27.82
mala-500-10b-v2,0.54,0.00,0.03,0.01,0.01,0.01,0.01,0.01,6.72,0.04,0.02,0.01,3.56,0.02,0.07,0.00,0.21,0.06,0.02,0.04,0.00,0.01,0.05,0.00,0.02,0.01,0.13,6.01,0.08,0.01,0.00,0.25,0.01,0.15,0.01,3.88,1.81,0.01,0.04,0.08,0.12,0.00,2.42,0.05,0.01,0.12,0.61,0.75,0.45,0.31,2.45,3.15,0.00,0.01,0.02,0.63,0.04,0.39,0.71,5.11,0.01,0.00,0.02,0.05,0.78,0.01,0.01,0.27,0.00,0.02,0.01,0.00,0.24,0.73,0.01,0.03,0.01,0.01,5.19,0.02,0.00,0.10,6.63,0.04,0.06,0.49,0.16,0.01,3.58,0.01,1.05,0.02,0.01,0.01,0.14,0.40,0.07,0.01,0.01,0.01,0.01,0.18,0.02,0.02,0.35,1.33,0.00,0.07,0.05,0.03,0.01,0.50,0.01,0.04,0.04,0.01,0.10,4.43,1.30,0.03,0.00,1.34,0.01,0.15,0.67,1.47,0.01,0.01,0.36,0.03,0.01,0.06,0.06,0.88,0.06,0.85,0.01,0.04,0.14,0.03,0.05,0.04,0.07,0.04,0.01,0.03,0.02,0.04,0.00,0.01,5.85,0.02,0.01,0.04,0.27,0.01,0.02,0.04,0.01,6.89,0.04,0.01,0.08,0.00,0.01,0.01,0.66,0.89,1.96,0.02,0.01,0.03,0.00,0.18,0.00,0.98,0.01,0.07,0.46,0.26,0.00,0.02,0.03,0.00,0.02,0.22,1.26,0.17,0.00,0.04,0.02,0.02,4.29,0.11,0.01,0.01,0.01,0.05,0.00,0.10,0.00,0.39,0.01,7.59
mala-500-10b-v1,0.60,0.00,0.05,0.00,0.01,0.00,0.00,0.00,9.61,0.02,0.01,0.00,1.88,0.01,0.02,0.00,0.17,0.02,0.02,0.03,0.00,0.01,0.04,0.00,0.01,0.03,0.28,5.21,0.07,0.01,0.01,0.58,0.01,0.19,0.01,4.27,0.82,0.01,0.03,0.07,0.04,0.01,1.73,0.03,0.01,0.02,0.40,0.66,0.42,0.42,2.87,4.09,0.00,0.00,0.02,0.66,0.01,1.05,0.41,5.75,0.00,0.00,0.01,0.06,1.16,0.01,0.01,0.20,0.00,0.05,0.01,0.00,0.14,0.74,0.01,0.02,0.00,0.00,4.27,0.01,0.00,0.03,4.85,0.05,0.03,0.48,0.07,0.00,3.98,0.01,2.91,0.01,0.03,0.01,0.11,0.28,0.08,0.00,0.01,0.01,0.01,0.37,0.01,0.01,0.55,2.35,0.00,0.05,0.06,0.01,0.01,0.87,0.00,0.01,0.04,0.01,0.12,5.55,3.16,0.02,0.00,1.85,0.00,0.13,1.11,1.98,0.00,0.00,0.50,0.03,0.02,0.06,0.07,1.51,0.09,1.24,0.01,0.03,0.04,0.04,0.05,0.06,0.04,0.04,0.01,0.02,0.01,0.05,0.01,0.01,4.53,0.01,0.01,0.02,0.37,0.02,0.02,0.10,0.01,7.88,0.01,0.01,0.05,0.01,0.01,0.01,0.77,1.27,3.07,0.02,0.01,0.03,0.00,0.14,0.01,3.17,0.01,0.03,0.48,0.38,0.00,0.02,0.01,0.00,0.03,0.09,4.03,0.39,0.01,0.04,0.01,0.01,3.99,0.06,0.04,0.01,0.00,0.04,0.00,0.29,0.01,0.16,0.01,6.39
TowerInstruct-7B-v0.2,3.23,0.26,1.18,0.32,0.46,0.18,0.38,0.87,32.53,0.25,0.22,0.02,10.58,0.32,0.21,0.27,0.68,1.77,0.12,0.24,0.26,0.46,3.65,0.30,0.09,0.22,7.60,7.98,0.37,0.27,0.06,5.46,1.26,4.97,0.16,33.56,2.68,1.73,0.76,0.72,0.06,0.34,4.11,0.78,1.14,0.50,5.74,1.14,1.68,0.70,8.25,18.90,0.24,0.36,0.22,10.72,0.18,0.63,2.18,20.28,0.24,0.39,0.01,2.13,3.37,0.38,0.28,0.55,0.16,4.83,1.28,0.12,1.27,3.11,0.32,0.25,0.28,0.64,16.85,0.60,0.48,0.17,29.72,0.09,0.56,5.89,2.25,0.40,18.24,0.17,9.31,1.94,11.86,1.35,4.89,0.84,5.21,0.12,0.43,0.92,1.22,6.40,0.13,0.25,0.40,11.11,0.40,0.33,0.62,1.26,0.22,15.23,0.08,0.49,0.45,0.66,1.94,10.43,6.88,0.14,0.14,16.52,0.79,0.28,6.32,24.43,0.29,0.23,1.74,0.07,0.13,0.56,0.13,6.73,4.64,11.71,0.19,1.30,4.24,0.21,0.43,4.73,1.31,0.31,0.37,0.22,0.21,0.45,0.04,0.10,6.95,0.22,1.11,1.02,3.85,0.20,0.36,0.90,0.44,19.78,0.12,0.12,1.28,0.02,0.32,0.26,9.42,11.51,9.28,1.71,0.05,1.76,0.32,0.27,0.40,17.51,0.29,0.71,0.83,9.19,0.06,1.66,2.08,0.07,0.31,6.95,7.24,7.90,0.05,5.88,2.18,0.19,8.61,0.18,3.70,1.81,0.14,0.58,0.12,6.31,0.02,1.08,1.92,16.02
TowerBase-7B-v0.1,4.83,0.06,1.11,1.00,0.39,0.07,0.52,0.97,50.00,0.50,0.61,0.02,27.37,0.35,0.18,0.42,0.53,1.49,0.06,0.63,0.33,0.40,3.37,0.30,0.13,0.26,5.88,23.81,0.30,0.24,0.04,14.94,0.96,4.25,0.38,52.56,3.34,1.88,1.04,0.66,0.04,0.88,19.02,1.62,1.02,0.53,5.47,0.67,1.96,1.10,15.48,35.10,0.47,0.43,0.52,9.43,0.31,0.52,1.16,30.21,0.19,0.33,0.01,1.50,8.34,0.13,0.70,0.31,0.11,2.73,1.12,0.21,1.74,3.88,0.15,0.69,0.70,0.35,32.77,0.33,0.21,0.21,39.90,0.07,0.49,7.59,1.79,0.20,34.07,0.23,14.25,1.82,22.05,1.13,4.24,0.85,4.33,0.07,0.61,0.82,1.66,4.40,0.07,0.40,0.29,25.21,0.26,0.66,2.54,1.70,0.22,17.28,0.07,0.47,1.21,1.33,1.78,24.12,14.86,0.13,0.23,15.18,1.25,0.58,10.86,36.60,0.70,0.62,1.23,0.09,0.07,0.64,0.21,6.31,2.27,16.68,0.28,0.57,7.91,0.17,0.27,2.89,1.97,0.48,0.19,0.59,0.31,1.36,0.04,0.10,21.31,0.41,0.72,0.70,5.40,0.10,0.50,1.00,0.60,27.93,0.44,0.09,1.23,0.05,0.25,0.22,16.44,21.93,13.43,1.66,0.04,2.41,0.89,0.31,0.74,23.32,0.69,1.13,1.22,8.81,0.09,0.77,1.68,0.02,0.37,6.07,13.55,9.14,0.04,2.93,2.02,0.49,15.40,0.24,2.91,2.38,0.27,0.16,0.05,5.05,0.03,3.75,0.85,30.30
