Model,Avg,hne_Deva-eng_Latn,acm_Arab-eng_Latn,hau_Latn-eng_Latn,aka_Latn-eng_Latn,gla_Latn-eng_Latn,wol_Latn-eng_Latn,tsn_Latn-eng_Latn,luo_Latn-eng_Latn,por_Latn-eng_Latn,bam_Latn-eng_Latn,ltz_Latn-eng_Latn,deu_Latn-eng_Latn,sin_Sinh-eng_Latn,ces_Latn-eng_Latn,som_Latn-eng_Latn,ewe_Latn-eng_Latn,arb_Latn-eng_Latn,ukr_Cyrl-eng_Latn,sot_Latn-eng_Latn,lin_Latn-eng_Latn,shn_Mymr-eng_Latn,gaz_Latn-eng_Latn,snd_Arab-eng_Latn,hrv_Latn-eng_Latn,min_Latn-eng_Latn,fao_Latn-eng_Latn,ayr_Latn-eng_Latn,nld_Latn-eng_Latn,knc_Arab-eng_Latn,apc_Arab-eng_Latn,pag_Latn-eng_Latn,nno_Latn-eng_Latn,khm_Khmr-eng_Latn,quy_Latn-eng_Latn,nya_Latn-eng_Latn,ars_Arab-eng_Latn,hun_Latn-eng_Latn,hat_Latn-eng_Latn,sun_Latn-eng_Latn,azj_Latn-eng_Latn,dan_Latn-eng_Latn,ary_Arab-eng_Latn,bel_Cyrl-eng_Latn,san_Deva-eng_Latn,guj_Gujr-eng_Latn,tel_Telu-eng_Latn,rus_Cyrl-eng_Latn,lmo_Latn-eng_Latn,ydd_Hebr-eng_Latn,ssw_Latn-eng_Latn,tpi_Latn-eng_Latn,smo_Latn-eng_Latn,kon_Latn-eng_Latn,grn_Latn-eng_Latn,hye_Armn-eng_Latn,umb_Latn-eng_Latn,mlt_Latn-eng_Latn,kat_Geor-eng_Latn,ltg_Latn-eng_Latn,kas_Deva-eng_Latn,asm_Beng-eng_Latn,fra_Latn-eng_Latn,tir_Ethi-eng_Latn,pes_Arab-eng_Latn,npi_Deva-eng_Latn,jpn_Jpan-eng_Latn,arb_Arab-eng_Latn,taq_Latn-eng_Latn,szl_Latn-eng_Latn,khk_Cyrl-eng_Latn,kam_Latn-eng_Latn,kea_Latn-eng_Latn,yue_Hant-eng_Latn,sag_Latn-eng_Latn,zho_Hant-eng_Latn,tum_Latn-eng_Latn,amh_Ethi-eng_Latn,swe_Latn-eng_Latn,epo_Latn-eng_Latn,ckb_Arab-eng_Latn,uzn_Latn-eng_Latn,pap_Latn-eng_Latn,urd_Arab-eng_Latn,mar_Deva-eng_Latn,ace_Latn-eng_Latn,bak_Cyrl-eng_Latn,ast_Latn-eng_Latn,tuk_Latn-eng_Latn,ell_Grek-eng_Latn,awa_Deva-eng_Latn,pol_Latn-eng_Latn,uig_Arab-eng_Latn,slk_Latn-eng_Latn,mos_Latn-eng_Latn,ace_Arab-eng_Latn,nso_Latn-eng_Latn,gle_Latn-eng_Latn,srp_Cyrl-eng_Latn,tgl_Latn-eng_Latn,lus_Latn-eng_Latn,taq_Tfng-eng_Latn,tur_Latn-eng_Latn,arz_Arab-eng_Latn,srd_Latn-eng_Latn,glg_Latn-eng_Latn,crh_Latn-eng_Latn,tha_Thai-eng_Latn,kik_Latn-eng_Latn,oci_Latn-eng_Latn,dyu_Latn-eng_Latn,kan_Knda-eng_Latn,cym_Latn-eng_Latn,bod_Tibt-eng_Latn,ben_Beng-eng_Latn,mni_Beng-eng_Latn,cjk_Latn-eng_Latn,ory_Orya-eng_Latn,hin_Deva-eng_Latn,als_Latn-eng_Latn,nus_Latn-eng_Latn,plt_Latn-eng_Latn,ajp_Arab-eng_Latn,mal_Mlym-eng_Latn,yor_Latn-eng_Latn,kas_Arab-eng_Latn,lvs_Latn-eng_Latn,fon_Latn-eng_Latn,run_Latn-eng_Latn,ban_Latn-eng_Latn,bho_Deva-eng_Latn,fur_Latn-eng_Latn,kab_Latn-eng_Latn,bjn_Latn-eng_Latn,eus_Latn-eng_Latn,spa_Latn-eng_Latn,ind_Latn-eng_Latn,tzm_Tfng-eng_Latn,min_Arab-eng_Latn,lim_Latn-eng_Latn,vec_Latn-eng_Latn,fij_Latn-eng_Latn,mri_Latn-eng_Latn,kaz_Cyrl-eng_Latn,est_Latn-eng_Latn,sat_Olck-eng_Latn,kac_Latn-eng_Latn,mag_Deva-eng_Latn,bug_Latn-eng_Latn,pan_Guru-eng_Latn,zul_Latn-eng_Latn,prs_Arab-eng_Latn,dik_Latn-eng_Latn,kmb_Latn-eng_Latn,lug_Latn-eng_Latn,kbp_Latn-eng_Latn,jav_Latn-eng_Latn,tam_Taml-eng_Latn,kor_Hang-eng_Latn,bos_Latn-eng_Latn,sna_Latn-eng_Latn,afr_Latn-eng_Latn,lao_Laoo-eng_Latn,mai_Deva-eng_Latn,azb_Arab-eng_Latn,vie_Latn-eng_Latn,ilo_Latn-eng_Latn,tgk_Cyrl-eng_Latn,heb_Hebr-eng_Latn,kir_Cyrl-eng_Latn,dzo_Tibt-eng_Latn,isl_Latn-eng_Latn,fuv_Latn-eng_Latn,kin_Latn-eng_Latn,knc_Latn-eng_Latn,zho_Hans-eng_Latn,acq_Arab-eng_Latn,mya_Mymr-eng_Latn,lij_Latn-eng_Latn,cat_Latn-eng_Latn,ron_Latn-eng_Latn,aeb_Arab-eng_Latn,nob_Latn-eng_Latn,bem_Latn-eng_Latn,scn_Latn-eng_Latn,ita_Latn-eng_Latn,pbt_Arab-eng_Latn,ibo_Latn-eng_Latn,xho_Latn-eng_Latn,kmr_Latn-eng_Latn,tat_Cyrl-eng_Latn,bul_Cyrl-eng_Latn,lit_Latn-eng_Latn,war_Latn-eng_Latn,twi_Latn-eng_Latn,slv_Latn-eng_Latn,ceb_Latn-eng_Latn,zsm_Latn-eng_Latn,fin_Latn-eng_Latn,lua_Latn-eng_Latn,bjn_Arab-eng_Latn,mkd_Cyrl-eng_Latn,tso_Latn-eng_Latn,swh_Latn-eng_Latn
emma-500-llama2-7b,45.78,45.84,53.24,48.03,34.96,51.92,30.55,41.39,27.99,65.52,25.63,62.22,61.71,45.89,59.06,45.17,31.61,19.74,59.10,50.20,40.38,21.14,32.29,50.13,58.49,53.06,57.07,25.15,53.66,12.58,54.75,45.85,63.74,45.10,27.52,41.58,56.45,52.03,56.51,55.21,44.58,65.59,45.35,48.27,31.56,51.96,48.78,56.53,54.86,64.83,40.54,46.19,47.47,31.42,38.39,51.78,22.58,70.29,48.44,52.00,20.06,35.76,62.71,29.92,52.65,51.01,45.14,57.94,24.87,58.19,44.78,26.05,51.81,49.39,26.67,46.90,36.07,41.63,64.90,63.84,49.47,49.56,63.64,49.72,49.80,42.87,45.92,59.31,44.46,55.26,46.19,52.19,41.55,58.22,18.31,23.12,49.78,58.40,63.30,62.87,33.71,12.49,50.46,52.15,60.80,61.98,42.74,43.20,29.00,68.74,19.45,48.12,69.23,16.80,43.74,29.11,19.12,43.75,53.30,60.24,17.31,46.89,57.01,48.57,37.25,42.31,54.27,23.49,37.88,49.43,44.93,58.84,35.02,51.50,49.90,54.33,61.22,13.52,23.98,57.08,59.16,37.76,43.70,49.78,55.72,15.48,28.35,49.07,28.86,50.00,51.54,54.40,22.82,22.18,33.08,28.04,55.92,45.52,46.46,61.90,43.60,71.69,44.64,48.66,35.73,54.64,47.48,52.71,59.16,42.13,14.47,55.41,20.93,44.00,28.43,48.70,55.40,33.39,61.13,63.11,61.75,49.87,62.12,32.67,57.49,56.66,44.64,43.67,49.74,46.53,47.00,60.77,51.00,60.55,36.86,56.86,61.92,61.10,53.25,30.38,24.87,61.91,38.73,56.94
Llama-2-7b-hf,30.32,28.93,38.69,18.31,20.17,25.86,18.94,18.63,18.63,66.62,17.57,38.39,62.37,15.00,58.34,17.75,16.86,19.09,58.42,19.45,19.06,14.64,14.68,17.96,56.96,32.05,33.51,17.98,54.11,11.87,37.65,29.61,59.53,15.70,18.53,19.09,43.54,52.81,26.95,31.42,26.06,65.38,31.64,34.22,18.58,13.63,13.99,56.51,43.00,18.10,18.48,30.33,19.83,19.10,22.91,17.45,17.78,37.81,25.53,24.36,19.16,18.52,63.90,11.35,39.81,27.77,46.79,43.19,18.50,44.10,16.71,19.05,38.10,49.82,18.25,47.74,19.66,12.77,65.22,50.39,16.27,20.40,42.46,28.68,24.22,25.03,21.76,53.56,21.65,44.19,32.63,51.74,14.22,53.34,17.71,13.72,19.79,30.66,60.85,49.72,22.80,12.76,40.28,37.08,41.85,58.51,26.69,29.07,19.23,59.44,17.28,14.13,32.33,12.06,25.40,13.64,17.95,13.04,40.61,30.34,15.41,19.09,39.69,16.90,16.97,18.12,30.02,16.33,17.52,30.50,28.35,41.49,14.63,33.05,22.41,55.30,59.65,12.13,14.09,43.72,50.15,19.48,24.15,21.37,31.22,10.99,18.22,31.82,24.11,14.87,17.58,38.33,19.13,17.97,18.21,16.66,30.61,16.11,46.79,59.94,19.25,63.82,15.89,29.06,18.42,52.93,28.14,18.91,36.26,19.71,11.72,31.57,17.39,17.66,19.59,49.28,40.66,13.04,43.72,64.46,61.98,35.57,61.75,20.75,40.36,57.30,19.25,17.51,19.48,19.51,22.27,59.55,29.20,37.57,20.81,54.56,38.18,55.51,52.44,19.65,13.49,54.25,18.66,22.82
Llama-2-7b-chat-hf,31.72,27.44,38.05,22.01,22.41,26.43,22.63,22.19,22.49,66.52,19.95,39.09,62.95,17.48,59.36,21.08,20.37,21.08,58.37,22.61,23.75,19.55,18.46,19.82,57.32,33.10,33.40,21.28,55.55,14.93,36.39,32.43,59.44,18.94,22.50,23.14,41.02,53.75,27.66,32.07,27.00,65.67,31.07,34.48,20.79,16.67,17.77,56.92,42.30,19.31,21.42,33.45,23.67,23.58,26.05,19.40,20.35,37.40,25.86,25.93,20.39,19.86,64.02,15.61,37.45,26.89,48.07,41.76,21.04,44.33,20.33,22.00,39.38,49.58,21.23,47.78,21.67,15.89,65.43,48.75,18.03,23.47,41.83,25.74,24.05,26.83,23.61,54.03,22.95,42.84,31.05,52.82,16.66,54.06,20.43,15.74,22.54,30.93,61.28,48.17,26.71,14.46,41.28,35.04,42.84,58.53,28.16,28.58,22.14,59.29,20.55,16.81,30.72,15.02,22.48,16.29,21.66,16.27,38.82,31.59,17.94,22.79,37.82,18.67,19.96,18.42,30.46,19.58,20.52,32.42,28.63,41.77,17.82,34.16,25.29,55.82,59.12,15.08,15.45,44.80,50.16,21.76,25.33,23.86,31.23,14.55,22.12,30.74,26.62,16.40,21.67,36.13,21.51,21.51,21.47,18.90,30.97,19.33,46.58,60.46,22.47,62.96,19.16,26.99,20.61,52.33,31.03,21.72,33.43,23.36,14.03,31.38,20.54,21.71,21.59,49.38,39.44,15.70,45.61,64.51,62.02,35.14,61.88,22.61,40.45,57.70,20.66,19.92,23.37,22.02,24.37,59.97,28.98,38.54,22.86,54.56,37.80,55.14,53.38,23.30,15.31,53.59,21.60,25.92
CodeLlama-7b-hf,28.57,24.12,35.25,17.03,18.45,19.39,18.27,16.60,17.11,64.41,15.88,37.87,60.70,14.39,56.97,17.09,15.14,15.71,56.28,17.43,19.46,16.17,15.04,16.73,55.08,30.35,32.49,17.48,52.92,10.49,34.33,26.35,56.05,16.58,18.09,18.57,38.70,49.96,23.26,27.71,27.98,63.16,28.37,36.31,12.35,15.58,14.42,54.63,41.46,20.20,16.68,26.61,19.30,18.66,21.45,23.93,16.85,33.08,23.94,23.76,17.84,18.29,61.90,12.25,38.87,23.16,41.80,38.98,17.64,43.75,17.70,16.77,35.26,45.74,15.76,44.20,17.10,13.04,62.86,50.18,15.16,23.76,37.05,23.42,21.39,22.91,22.44,52.67,21.10,41.99,25.43,50.47,17.23,53.19,16.70,12.54,17.85,19.63,58.44,33.01,21.93,11.97,41.80,33.12,39.06,57.00,26.14,34.88,18.06,58.00,15.98,14.81,22.72,13.14,25.52,13.80,16.95,13.63,32.12,32.95,13.48,17.17,36.20,16.95,16.88,16.91,36.82,14.97,16.62,25.85,24.43,39.46,13.65,31.95,21.95,53.89,53.90,11.82,13.21,42.26,48.29,17.60,16.68,20.59,37.56,12.13,18.62,26.57,20.35,15.25,16.06,37.70,18.86,16.42,16.85,15.65,28.53,15.89,41.37,57.76,17.87,55.08,17.48,23.42,17.51,44.57,25.85,18.49,34.51,19.76,12.94,33.54,16.11,16.10,18.42,45.42,37.39,13.55,42.60,62.53,59.42,31.39,58.45,19.07,37.71,55.01,19.27,16.72,18.26,18.18,22.74,57.82,34.20,31.40,19.15,52.43,28.66,48.96,43.58,18.08,13.76,52.50,17.71,18.88
LLaMAX2-7B,13.66,14.79,23.70,6.42,3.37,9.84,3.14,3.68,3.48,30.27,3.38,22.51,24.58,3.90,26.37,4.91,3.27,2.93,28.85,3.94,4.81,3.07,3.35,8.18,24.25,6.91,17.48,3.27,26.03,2.72,23.05,5.32,35.00,9.41,3.57,4.32,30.66,21.90,12.84,10.21,7.13,32.06,12.42,14.78,4.36,6.49,6.29,26.38,12.71,7.98,3.81,4.13,4.14,3.48,3.52,27.23,3.13,33.63,18.41,5.25,3.81,11.47,24.71,3.67,24.36,22.14,32.83,29.25,3.76,11.46,5.79,3.45,11.84,33.54,3.45,32.19,3.64,6.93,31.73,31.99,10.62,9.97,11.20,24.10,18.40,5.31,5.40,32.96,3.64,27.27,17.46,26.53,3.16,27.10,3.18,3.02,3.94,27.37,29.56,29.53,3.29,3.12,18.31,24.05,14.96,32.81,5.27,25.10,3.40,39.23,3.16,4.81,28.45,2.32,20.58,3.00,3.17,4.60,28.75,23.21,2.86,4.44,25.57,9.66,3.99,5.83,18.13,3.01,3.78,6.53,10.64,16.72,3.54,10.26,8.79,26.88,22.43,3.11,3.01,16.16,17.48,3.07,5.94,14.44,28.70,2.32,3.03,16.40,3.71,7.48,8.00,24.27,3.09,3.31,3.86,3.14,15.78,9.07,23.15,30.68,4.59,35.86,4.48,13.94,4.06,26.30,5.08,10.24,29.38,8.38,2.24,24.17,3.26,3.98,3.45,33.90,29.92,5.47,19.52,32.46,27.94,17.98,33.55,3.43,14.93,23.25,12.36,4.57,7.03,5.96,7.09,33.70,24.98,14.67,3.77,27.94,18.33,20.86,24.68,3.72,3.02,29.07,3.47,13.54
LLaMAX2-7B-Alpaca,42.27,43.85,52.07,46.45,24.70,42.72,25.00,30.68,22.49,67.59,21.08,61.19,63.49,34.27,61.11,42.20,21.63,22.47,60.17,34.91,33.25,19.59,25.30,49.11,59.56,34.48,48.26,20.85,56.10,14.73,51.11,33.78,63.43,47.17,22.06,41.48,56.29,56.12,51.05,49.51,46.21,67.49,41.84,49.27,29.19,49.74,47.86,57.83,46.55,43.26,31.65,31.75,35.47,25.52,25.80,54.99,21.03,68.37,49.60,31.90,23.23,42.86,64.74,20.00,53.73,54.31,49.95,57.28,22.00,46.47,44.00,22.96,42.66,51.55,23.19,49.68,30.39,41.10,66.58,61.70,42.52,49.38,45.97,51.52,51.16,29.07,34.66,60.19,28.18,56.17,47.62,53.80,19.38,60.02,20.83,16.28,35.11,56.70,63.44,60.95,26.75,15.54,53.61,48.66,50.77,63.25,38.24,48.61,24.11,69.03,19.49,45.05,65.70,14.60,50.17,16.16,21.35,41.95,56.00,56.50,18.21,37.08,53.58,47.86,28.83,28.70,56.19,20.27,28.78,38.77,39.03,46.06,17.99,37.92,44.49,56.51,61.93,15.58,16.86,46.57,52.50,22.71,42.31,50.24,55.45,14.58,20.78,47.75,27.14,49.29,47.98,53.94,21.89,22.22,27.03,20.66,52.42,45.87,50.63,62.89,41.58,71.80,41.19,41.51,25.29,55.85,34.34,51.10,59.05,44.10,14.06,53.80,21.78,33.40,22.26,51.64,53.74,38.20,48.32,66.07,64.00,47.27,63.59,26.07,49.81,58.60,48.15,39.59,46.79,45.28,42.26,62.15,53.20,52.69,24.70,57.02,59.48,61.62,55.73,24.58,15.82,62.48,22.97,55.38
mala-500-10b-v2,15.44,13.23,11.76,12.78,13.63,15.35,12.21,11.97,13.04,36.48,12.84,22.95,30.56,10.36,14.16,12.97,12.55,12.40,16.08,12.08,11.23,11.73,12.07,11.42,25.86,16.48,17.22,12.97,21.83,12.43,12.24,15.01,28.19,7.93,12.47,12.26,11.04,14.15,15.93,14.07,11.11,28.16,10.13,11.96,12.20,7.40,8.09,18.28,24.61,11.43,12.68,15.12,13.04,12.62,13.47,10.41,12.67,26.45,12.33,13.08,12.42,9.21,40.45,12.99,11.92,11.65,8.66,10.82,13.06,17.37,10.65,12.79,28.35,21.27,9.15,25.27,12.75,10.22,24.94,17.94,12.09,13.04,29.91,9.98,9.31,14.06,12.65,30.73,12.78,10.66,11.45,12.36,11.08,15.48,11.51,11.68,12.14,15.87,27.16,30.03,12.67,11.57,12.17,11.96,25.01,25.55,13.55,10.60,13.01,32.70,12.15,7.31,18.31,8.40,11.06,11.58,12.63,10.91,12.04,15.04,12.59,13.43,12.28,9.58,10.83,12.82,16.37,11.47,13.27,14.23,12.67,29.53,12.52,15.94,12.28,33.38,26.40,12.69,12.11,17.52,34.21,11.88,11.56,11.84,14.62,12.28,11.84,12.83,12.95,10.41,11.92,14.35,13.21,13.09,12.55,12.61,13.58,10.70,8.13,27.41,12.08,38.04,9.51,11.48,12.64,11.10,14.00,11.25,10.82,11.07,8.84,13.03,12.73,13.53,12.88,26.72,12.29,9.12,26.26,34.65,19.93,11.46,37.52,11.57,25.31,30.52,10.84,12.33,12.70,12.32,13.21,24.45,11.36,20.76,13.28,15.77,23.62,35.55,11.95,12.53,12.37,21.62,12.50,11.97
mala-500-10b-v1,13.60,11.59,11.02,9.07,11.76,14.16,10.93,9.96,10.84,25.00,11.41,19.28,23.42,9.52,16.68,10.51,10.39,11.42,14.72,11.59,9.85,10.38,10.60,10.68,32.82,13.34,15.21,11.68,18.92,11.03,11.28,13.01,25.27,6.79,11.10,10.13,10.03,11.99,13.60,12.89,10.66,22.29,10.20,10.24,11.46,5.01,2.27,16.38,21.20,11.43,10.29,11.45,8.64,9.99,11.71,8.92,11.94,21.33,9.63,11.82,11.24,8.75,33.86,10.85,11.42,10.24,8.17,9.00,12.28,19.50,8.68,11.95,21.27,17.58,9.37,23.29,9.76,5.64,24.45,22.80,11.11,12.21,22.32,9.33,8.25,12.04,13.31,28.55,11.26,7.22,11.48,11.72,8.45,14.49,10.02,11.43,11.09,14.08,37.37,18.48,10.66,11.45,9.97,10.18,24.39,25.35,12.81,9.29,10.30,34.21,11.43,2.50,19.68,5.67,8.23,9.63,11.31,8.46,10.86,16.29,11.13,11.72,12.32,6.16,9.20,11.40,12.88,10.20,10.68,12.93,11.40,23.84,10.87,13.17,10.45,28.84,26.79,11.37,10.93,19.50,23.32,9.95,9.43,9.26,13.18,10.16,8.86,12.00,12.11,3.35,9.58,11.46,10.69,10.12,10.24,11.11,11.47,7.74,7.62,34.25,9.59,32.40,8.69,11.36,11.58,12.62,12.03,9.40,9.73,5.99,6.47,12.65,10.99,10.94,11.88,15.47,10.47,8.37,24.27,32.01,22.28,11.21,29.19,10.45,28.15,29.87,5.33,9.22,8.82,11.61,11.62,25.75,10.30,15.59,11.22,17.69,16.48,32.37,10.90,9.48,10.82,24.89,10.17,11.41
TowerInstruct-7B-v0.2,25.43,26.01,20.96,16.03,15.48,22.27,15.25,15.17,16.06,64.20,14.47,37.95,54.73,14.13,45.37,17.70,13.51,15.97,49.65,14.52,16.65,12.64,15.28,13.78,46.58,27.12,30.04,15.63,50.08,9.36,19.46,25.39,49.99,13.69,20.25,17.75,25.75,31.96,24.12,26.70,20.95,54.17,16.66,31.28,19.72,13.27,13.75,50.27,39.44,14.84,15.99,24.23,19.16,15.92,21.26,13.84,15.90,33.74,13.24,21.04,16.96,16.76,60.96,9.60,18.66,25.08,43.99,22.55,14.86,37.20,14.79,17.41,38.90,47.48,14.54,44.34,15.54,10.20,54.03,39.27,15.40,17.66,40.48,22.63,21.97,24.39,19.72,52.57,18.89,23.37,29.32,38.75,14.35,40.37,14.08,12.51,15.97,25.92,55.79,37.41,18.39,11.92,31.07,18.87,39.26,58.97,22.25,28.80,16.06,55.00,14.65,12.47,25.70,10.92,21.41,12.20,17.27,12.17,28.14,21.27,12.70,16.37,20.72,15.86,14.40,16.17,24.90,13.57,14.61,28.28,23.71,39.49,12.29,27.62,21.02,47.29,48.99,11.47,12.52,41.49,49.24,19.02,18.40,18.95,27.26,10.61,13.86,27.47,22.48,12.83,18.61,19.00,15.34,15.98,16.77,13.64,27.29,16.25,40.12,45.67,17.09,55.19,13.18,25.69,11.37,40.98,24.59,17.28,20.06,18.18,10.26,24.93,14.36,15.80,16.76,47.00,20.48,9.80,41.28,59.07,56.72,18.42,52.84,18.33,38.65,49.83,17.21,14.89,19.22,16.08,21.38,51.83,26.17,29.89,14.94,40.62,30.98,46.92,33.57,17.23,12.38,48.55,15.90,22.99
TowerBase-7B-v0.1,31.47,31.72,41.19,18.35,19.15,26.51,20.36,18.43,19.43,70.42,17.66,41.82,65.60,15.43,61.04,19.39,15.82,19.46,61.56,19.37,20.20,14.46,16.29,18.57,58.95,31.89,34.67,17.82,57.19,11.85,40.29,30.65,61.21,14.46,19.84,20.84,45.08,55.73,27.75,31.09,27.02,67.29,33.39,37.86,20.49,15.20,13.90,59.78,46.14,17.43,18.20,28.51,19.69,19.71,23.04,19.45,17.61,38.14,26.62,24.54,19.10,17.41,66.98,11.56,42.58,27.70,49.66,45.84,18.61,46.34,17.86,18.44,43.51,53.36,19.18,51.07,19.08,11.42,66.69,51.95,17.29,22.63,44.59,30.33,25.05,24.71,22.72,56.85,21.90,46.37,33.51,53.84,15.22,55.98,17.01,13.26,19.63,30.50,63.42,49.92,21.83,12.86,45.16,38.86,45.83,62.03,28.46,30.23,18.09,63.43,17.00,14.40,31.53,12.19,23.75,14.16,19.08,13.35,42.44,31.30,14.08,19.65,42.89,17.64,17.01,16.99,31.52,15.62,18.48,32.11,30.80,44.94,14.63,34.00,24.52,57.74,62.05,13.01,13.66,48.88,54.78,19.59,22.60,23.20,33.18,12.22,17.96,32.28,23.33,14.20,18.05,41.09,18.67,17.44,19.35,15.87,31.33,18.40,53.44,62.23,18.69,66.65,16.21,28.50,19.92,55.54,28.69,19.80,36.70,21.83,11.68,32.76,17.31,18.07,18.72,52.95,43.18,11.52,49.11,67.30,64.05,37.84,63.00,21.23,43.05,60.09,20.13,16.94,20.59,19.32,23.87,62.04,30.05,37.40,20.09,56.28,37.45,58.13,54.16,20.63,13.02,54.98,19.45,24.55
