Model,Avg,eng_Latn-bjn_Arab,eng_Latn-hat_Latn,eng_Latn-sna_Latn,eng_Latn-npi_Deva,eng_Latn-ckb_Arab,eng_Latn-quy_Latn,eng_Latn-bug_Latn,eng_Latn-fra_Latn,eng_Latn-nso_Latn,eng_Latn-hau_Latn,eng_Latn-bod_Tibt,eng_Latn-zho_Hans,eng_Latn-guj_Gujr,eng_Latn-pan_Guru,eng_Latn-tel_Telu,eng_Latn-gle_Latn,eng_Latn-prs_Arab,eng_Latn-kab_Latn,eng_Latn-kac_Latn,eng_Latn-kan_Knda,eng_Latn-ben_Beng,eng_Latn-jav_Latn,eng_Latn-kam_Latn,eng_Latn-gaz_Latn,eng_Latn-mal_Mlym,eng_Latn-szl_Latn,eng_Latn-nob_Latn,eng_Latn-arb_Latn,eng_Latn-tam_Taml,eng_Latn-shn_Mymr,eng_Latn-vie_Latn,eng_Latn-wol_Latn,eng_Latn-lmo_Latn,eng_Latn-lug_Latn,eng_Latn-por_Latn,eng_Latn-tgl_Latn,eng_Latn-ajp_Arab,eng_Latn-kat_Geor,eng_Latn-tha_Thai,eng_Latn-khm_Khmr,eng_Latn-luo_Latn,eng_Latn-zho_Hant,eng_Latn-twi_Latn,eng_Latn-bho_Deva,eng_Latn-hye_Armn,eng_Latn-fur_Latn,eng_Latn-cym_Latn,eng_Latn-fao_Latn,eng_Latn-est_Latn,eng_Latn-afr_Latn,eng_Latn-cat_Latn,eng_Latn-ssw_Latn,eng_Latn-ltg_Latn,eng_Latn-sag_Latn,eng_Latn-vec_Latn,eng_Latn-kin_Latn,eng_Latn-als_Latn,eng_Latn-bel_Cyrl,eng_Latn-swe_Latn,eng_Latn-umb_Latn,eng_Latn-kmb_Latn,eng_Latn-dzo_Tibt,eng_Latn-pag_Latn,eng_Latn-fin_Latn,eng_Latn-bak_Cyrl,eng_Latn-nya_Latn,eng_Latn-knc_Arab,eng_Latn-mni_Beng,eng_Latn-ban_Latn,eng_Latn-mag_Deva,eng_Latn-cjk_Latn,eng_Latn-tpi_Latn,eng_Latn-epo_Latn,eng_Latn-tat_Cyrl,eng_Latn-som_Latn,eng_Latn-xho_Latn,eng_Latn-kas_Deva,eng_Latn-nld_Latn,eng_Latn-crh_Latn,eng_Latn-azb_Arab,eng_Latn-kbp_Latn,eng_Latn-deu_Latn,eng_Latn-sin_Sinh,eng_Latn-mri_Latn,eng_Latn-hun_Latn,eng_Latn-war_Latn,eng_Latn-kaz_Cyrl,eng_Latn-ita_Latn,eng_Latn-run_Latn,eng_Latn-srp_Cyrl,eng_Latn-acq_Arab,eng_Latn-kor_Hang,eng_Latn-awa_Deva,eng_Latn-srd_Latn,eng_Latn-gla_Latn,eng_Latn-kea_Latn,eng_Latn-kas_Arab,eng_Latn-mar_Deva,eng_Latn-hne_Deva,eng_Latn-aeb_Arab,eng_Latn-ltz_Latn,eng_Latn-ace_Arab,eng_Latn-tum_Latn,eng_Latn-lvs_Latn,eng_Latn-ron_Latn,eng_Latn-san_Deva,eng_Latn-fij_Latn,eng_Latn-lus_Latn,eng_Latn-arz_Arab,eng_Latn-mos_Latn,eng_Latn-glg_Latn,eng_Latn-pbt_Arab,eng_Latn-swh_Latn,eng_Latn-aka_Latn,eng_Latn-heb_Hebr,eng_Latn-ceb_Latn,eng_Latn-ind_Latn,eng_Latn-bos_Latn,eng_Latn-fon_Latn,eng_Latn-dyu_Latn,eng_Latn-ast_Latn,eng_Latn-ary_Arab,eng_Latn-smo_Latn,eng_Latn-slv_Latn,eng_Latn-rus_Cyrl,eng_Latn-dik_Latn,eng_Latn-zul_Latn,eng_Latn-mlt_Latn,eng_Latn-lao_Laoo,eng_Latn-snd_Arab,eng_Latn-lit_Latn,eng_Latn-sat_Olck,eng_Latn-mkd_Cyrl,eng_Latn-pap_Latn,eng_Latn-ces_Latn,eng_Latn-tso_Latn,eng_Latn-grn_Latn,eng_Latn-jpn_Jpan,eng_Latn-uzn_Latn,eng_Latn-azj_Latn,eng_Latn-bjn_Latn,eng_Latn-pes_Arab,eng_Latn-kik_Latn,eng_Latn-kir_Cyrl,eng_Latn-ewe_Latn,eng_Latn-kon_Latn,eng_Latn-ibo_Latn,eng_Latn-tzm_Tfng,eng_Latn-khk_Cyrl,eng_Latn-yue_Hant,eng_Latn-tsn_Latn,eng_Latn-lin_Latn,eng_Latn-mai_Deva,eng_Latn-slk_Latn,eng_Latn-tuk_Latn,eng_Latn-kmr_Latn,eng_Latn-tur_Latn,eng_Latn-bam_Latn,eng_Latn-dan_Latn,eng_Latn-nus_Latn,eng_Latn-asm_Beng,eng_Latn-ilo_Latn,eng_Latn-taq_Tfng,eng_Latn-ayr_Latn,eng_Latn-taq_Latn,eng_Latn-pol_Latn,eng_Latn-ukr_Cyrl,eng_Latn-zsm_Latn,eng_Latn-acm_Arab,eng_Latn-uig_Arab,eng_Latn-hin_Deva,eng_Latn-fuv_Latn,eng_Latn-plt_Latn,eng_Latn-knc_Latn,eng_Latn-bul_Cyrl,eng_Latn-bem_Latn,eng_Latn-yor_Latn,eng_Latn-isl_Latn,eng_Latn-oci_Latn,eng_Latn-ory_Orya,eng_Latn-eus_Latn,eng_Latn-apc_Arab,eng_Latn-mya_Mymr,eng_Latn-urd_Arab,eng_Latn-lij_Latn,eng_Latn-hrv_Latn,eng_Latn-lim_Latn,eng_Latn-amh_Ethi,eng_Latn-min_Latn,eng_Latn-ars_Arab,eng_Latn-sot_Latn,eng_Latn-nno_Latn,eng_Latn-ydd_Hebr,eng_Latn-sun_Latn,eng_Latn-arb_Arab,eng_Latn-lua_Latn,eng_Latn-tgk_Cyrl,eng_Latn-min_Arab,eng_Latn-scn_Latn,eng_Latn-tir_Ethi,eng_Latn-ell_Grek,eng_Latn-ace_Latn,eng_Latn-spa_Latn
aya-23-8B,6.46,0.04,0.20,0.08,1.71,0.00,0.08,0.16,48.17,0.11,0.10,0.00,29.69,0.48,0.09,0.19,0.17,23.98,0.03,0.06,0.12,0.48,1.58,0.06,0.07,1.18,3.89,14.22,0.20,0.47,0.00,38.68,0.12,1.68,0.05,49.25,3.39,25.32,0.06,1.13,0.01,0.09,23.67,0.08,7.88,0.01,1.99,2.20,1.09,0.94,19.01,17.87,0.10,0.26,0.08,5.43,0.08,0.46,0.27,16.62,0.06,0.06,0.00,0.56,1.40,0.11,0.09,0.26,0.15,1.23,14.95,0.04,0.33,2.42,0.21,0.76,0.13,0.58,30.41,1.22,0.10,0.07,37.36,0.01,0.17,1.58,0.64,0.20,32.88,0.05,1.24,26.05,20.11,11.65,0.99,0.13,0.36,0.01,0.60,9.48,15.25,1.25,0.06,0.07,0.65,41.39,0.23,0.12,0.10,20.25,0.03,18.44,0.01,0.13,0.07,35.17,0.83,42.09,7.76,0.03,0.04,15.02,9.31,0.12,3.35,34.30,0.07,0.14,0.25,0.02,0.01,4.35,0.03,1.17,2.18,34.08,0.07,0.11,19.97,0.15,0.27,7.64,25.92,0.05,0.32,0.05,0.07,0.05,0.00,0.04,13.89,0.09,0.10,4.55,12.35,0.17,0.09,28.42,0.06,19.07,0.06,0.09,0.33,0.01,0.05,0.04,27.24,33.90,24.53,25.19,0.00,26.46,0.08,0.05,0.07,6.58,0.09,0.04,1.25,6.92,0.07,0.32,23.57,0.01,0.12,2.35,7.91,4.53,0.01,6.67,34.15,0.11,10.01,0.10,2.28,35.47,0.06,0.08,0.04,1.35,0.00,32.83,1.27,29.94
aya-expanse-8b,6.88,0.09,3.35,0.59,5.39,1.31,1.44,3.09,37.23,0.61,1.33,0.06,33.93,5.24,5.32,4.13,1.45,21.64,0.38,0.74,2.51,4.81,7.15,1.84,0.95,5.38,5.88,13.55,2.11,4.80,0.15,35.21,1.56,5.59,0.86,36.21,8.15,19.64,2.10,7.89,0.39,0.98,21.02,1.02,11.96,1.33,6.24,4.62,3.44,2.51,16.22,11.28,1.37,1.00,0.52,8.93,1.70,3.62,3.00,16.18,0.56,0.79,0.03,3.70,4.06,1.25,1.07,2.60,1.49,6.82,14.51,0.49,3.87,8.36,1.64,3.61,1.73,3.10,21.30,1.08,2.71,0.43,35.09,0.39,3.40,3.77,4.39,1.56,21.24,0.91,2.20,25.89,20.42,12.92,5.13,1.86,6.62,1.03,6.15,12.87,17.16,4.99,0.07,1.04,0.90,22.10,3.14,2.26,1.21,17.01,0.32,15.56,0.51,2.53,0.88,21.74,4.87,30.20,10.30,0.17,0.81,10.99,11.53,1.80,5.72,28.73,1.11,1.37,4.39,0.46,0.73,4.35,0.68,5.09,6.21,17.82,0.84,2.64,26.22,0.20,1.77,5.99,29.53,1.83,2.45,0.37,0.62,2.02,0.02,0.63,15.15,0.49,0.60,10.75,12.32,0.29,0.71,28.32,0.43,14.32,0.49,1.17,3.28,0.02,0.60,0.76,17.90,21.61,14.42,19.21,0.24,27.19,0.90,2.51,1.01,11.94,0.91,1.54,2.99,6.40,5.46,2.07,17.51,0.18,6.05,5.73,9.08,8.40,0.05,6.43,25.59,0.61,9.09,1.94,8.06,21.61,0.68,0.92,0.06,4.72,0.03,26.90,3.87,17.23
Babel-9B,6.06,0.05,1.46,0.10,1.38,0.08,0.12,0.31,44.97,0.11,2.86,0.04,32.80,0.84,0.56,0.51,0.28,15.74,0.06,0.18,0.44,13.87,7.31,0.20,0.10,0.46,4.19,18.13,0.28,9.51,0.10,36.26,0.25,2.99,0.21,45.84,27.91,16.06,1.21,31.02,0.17,0.18,21.82,0.27,3.66,0.98,3.47,0.75,1.17,1.73,19.08,23.76,0.12,0.48,0.16,6.18,0.36,0.98,1.63,25.97,0.09,0.14,0.01,1.97,4.57,0.13,0.17,0.54,0.34,1.95,6.11,0.10,1.67,5.67,0.27,0.24,0.14,1.02,22.28,1.30,0.18,0.10,33.78,0.08,0.28,2.63,4.30,0.53,29.89,0.36,7.17,17.92,13.27,5.85,2.50,0.39,2.76,0.46,1.24,5.17,11.13,2.08,0.05,0.17,1.89,23.02,0.35,0.23,0.34,11.20,0.07,21.34,0.18,21.03,0.19,6.92,7.70,37.45,9.27,0.05,0.10,12.89,3.91,0.18,5.28,30.94,0.12,0.11,0.92,0.24,0.15,1.95,0.06,7.25,1.92,14.73,0.15,0.18,16.43,0.44,0.74,3.56,15.67,0.24,0.25,0.09,0.21,0.73,0.02,0.26,22.56,0.08,0.22,3.39,8.96,0.13,0.12,24.55,0.10,20.21,0.14,0.94,2.05,0.05,0.09,0.10,17.49,13.09,23.29,15.74,0.07,16.82,0.22,0.24,0.13,17.56,0.21,0.29,1.25,7.96,0.23,0.49,12.30,5.30,10.77,3.42,10.22,5.05,0.02,3.07,24.87,0.11,8.35,0.17,2.92,23.20,0.12,0.23,0.07,1.97,0.01,7.08,0.73,28.57
bloom-7b1,2.81,0.03,0.27,0.14,4.17,0.02,0.04,0.09,40.22,0.17,0.06,0.09,22.65,1.29,2.21,1.17,0.17,0.13,0.05,0.14,1.05,8.97,0.57,0.08,0.02,1.06,0.81,3.68,0.10,2.16,0.35,30.31,0.17,0.70,0.10,40.40,0.63,11.90,0.01,0.11,0.10,0.14,18.36,0.09,0.96,0.08,0.76,0.16,0.66,0.49,1.56,34.11,0.06,0.20,0.06,1.06,0.10,0.36,0.22,3.77,0.04,0.08,0.07,0.45,0.60,0.03,0.20,0.15,0.03,0.27,1.32,0.06,0.47,1.83,0.06,0.10,0.08,0.05,3.67,0.12,0.01,0.04,8.06,0.15,0.10,0.40,0.41,0.05,10.18,0.10,0.95,13.01,0.09,1.39,1.10,0.21,0.97,0.03,1.56,1.00,7.37,0.64,0.12,0.11,0.34,1.55,0.04,0.10,0.22,9.59,0.04,14.91,0.01,2.36,0.11,0.09,0.63,31.47,1.94,0.01,0.04,12.15,2.36,0.14,0.84,2.91,0.05,0.04,0.22,0.11,0.01,0.42,0.89,0.87,0.87,1.97,0.11,0.10,0.60,0.08,0.06,0.72,0.10,0.07,0.04,0.03,0.09,0.14,0.37,0.08,20.26,0.15,0.13,0.69,1.42,0.09,0.09,0.33,0.04,4.06,0.13,0.74,0.30,0.53,0.05,0.05,1.57,0.75,21.64,12.26,0.02,11.69,0.07,0.25,0.08,1.32,0.11,0.19,0.47,5.47,0.85,8.03,10.14,0.07,4.88,0.81,1.72,1.13,0.01,0.81,18.40,0.16,2.87,0.12,0.68,20.36,0.08,0.04,0.06,0.82,0.01,0.58,0.15,26.13
bloomz-7b1,7.44,0.04,0.21,1.32,56.57,0.03,0.07,0.12,62.00,3.10,0.07,0.02,63.75,57.44,58.40,52.82,0.13,0.14,0.03,0.15,48.18,63.65,0.64,0.20,0.04,44.78,0.33,1.38,0.15,58.21,0.20,59.59,2.21,0.49,0.89,62.68,0.25,11.25,0.04,0.29,0.17,0.15,61.67,1.88,1.53,0.03,0.34,0.30,0.37,0.21,0.29,57.97,0.17,0.12,0.10,0.66,2.23,0.17,0.06,1.45,0.11,0.13,0.05,0.35,0.18,0.02,1.42,0.15,0.05,0.38,3.80,0.09,0.56,0.44,0.02,0.08,1.63,0.14,1.43,0.11,0.01,0.12,6.92,0.17,0.13,0.22,0.41,0.04,10.81,1.79,0.22,14.88,0.19,4.11,0.25,0.17,0.34,0.24,50.20,2.25,6.74,0.29,0.11,1.15,0.11,1.12,0.18,0.17,0.21,11.32,0.07,17.21,0.04,30.38,1.96,0.09,0.18,65.14,0.27,0.24,0.11,14.66,2.02,0.20,0.19,1.06,0.10,1.40,0.16,0.16,0.02,0.19,1.02,0.15,0.32,0.52,1.29,0.13,1.81,0.09,0.08,0.59,0.13,0.74,0.03,0.11,0.18,2.90,0.58,0.02,28.88,2.76,4.74,1.28,0.35,0.07,0.13,0.31,0.71,1.83,0.17,23.41,0.27,1.20,0.09,0.07,0.80,0.15,23.01,12.21,0.03,57.57,0.07,0.22,0.08,0.52,0.20,1.95,0.29,8.06,38.01,45.22,8.99,0.10,43.38,0.38,0.33,0.19,0.06,0.67,20.27,4.50,0.87,0.07,0.55,19.19,0.14,0.02,0.08,0.23,0.02,0.26,0.20,41.87
CodeLlama-7b-hf,4.27,0.09,0.54,0.10,0.42,0.18,0.14,0.13,38.30,0.10,0.13,0.03,18.40,1.20,0.48,0.76,0.90,2.74,0.06,0.26,0.62,1.36,1.50,0.11,0.05,0.57,1.91,20.11,0.24,0.56,0.16,13.10,0.11,2.47,0.10,39.88,3.05,2.06,1.43,4.06,0.09,0.12,13.11,0.18,0.52,1.38,1.88,2.79,2.81,3.18,16.25,32.14,0.17,0.70,0.12,3.82,0.09,3.31,1.73,34.05,0.08,0.07,0.07,1.65,7.43,0.08,0.12,0.38,0.16,0.56,0.65,0.07,1.14,6.70,0.20,0.16,0.25,0.12,23.47,0.44,0.10,0.11,28.43,0.19,0.42,12.93,1.85,0.33,24.59,0.08,19.22,2.33,7.35,0.72,2.13,0.28,1.27,0.09,0.32,0.47,1.59,3.07,0.16,0.12,2.39,27.28,0.04,0.21,0.40,1.54,0.07,17.80,0.10,0.42,0.17,2.95,2.12,17.67,16.21,0.05,0.08,11.74,0.92,0.28,13.91,24.20,0.11,0.19,2.50,0.16,0.05,2.28,0.73,8.16,1.41,21.07,0.13,0.15,8.73,0.56,0.95,1.93,3.74,0.14,0.27,0.10,0.13,0.19,0.25,0.19,12.70,0.10,0.13,0.29,10.37,0.17,0.25,6.90,0.08,29.75,0.19,0.15,1.03,0.40,0.12,0.09,19.42,22.57,12.59,1.63,0.27,1.80,0.13,0.37,0.12,24.17,0.12,0.17,2.76,10.16,0.26,0.95,1.99,0.05,0.53,2.05,17.24,5.17,0.02,1.09,2.96,0.12,12.93,1.22,0.71,3.40,0.07,0.18,0.10,2.13,0.02,5.28,0.34,25.63
DeepSeek-R1-Distill-Llama-8B,5.88,0.17,3.01,0.52,3.36,0.08,0.70,3.65,40.56,0.33,0.55,0.02,27.64,2.97,2.11,2.90,1.92,8.62,0.12,0.26,3.50,1.52,7.17,0.58,0.08,1.69,7.74,21.11,0.49,0.93,0.09,26.15,0.43,5.05,0.58,40.82,11.39,10.11,0.48,13.80,0.07,0.45,13.36,0.74,4.42,3.13,5.81,2.06,2.28,5.37,24.01,25.57,0.46,1.19,0.32,9.53,0.65,2.91,2.23,28.35,0.38,0.39,0.00,3.16,7.60,0.16,0.64,0.27,0.45,6.76,5.36,0.27,5.92,19.19,0.26,0.42,0.64,0.68,23.57,1.83,0.28,0.31,30.63,0.22,0.56,15.00,3.11,0.30,27.43,0.50,4.24,11.20,6.83,5.38,5.08,1.52,3.14,0.54,2.49,4.48,7.93,5.28,0.10,0.58,2.08,25.96,0.65,0.80,0.67,8.91,0.12,21.35,0.21,1.54,0.62,13.98,7.26,29.75,6.77,0.21,0.22,14.68,5.53,0.94,7.42,23.42,0.51,0.49,3.23,0.04,0.41,4.60,0.07,5.55,7.47,21.21,0.60,3.43,13.27,0.32,1.73,8.14,9.48,0.65,0.24,0.35,0.45,0.93,0.08,0.15,15.23,0.23,0.61,2.95,12.35,0.57,0.05,14.64,0.31,25.77,0.20,0.53,2.61,0.08,0.34,0.22,17.58,18.71,22.66,8.83,0.14,12.47,0.24,0.80,0.20,12.44,0.59,0.52,1.91,13.18,0.26,1.37,8.64,0.08,4.84,6.05,9.33,8.21,0.03,8.20,13.48,0.31,14.92,1.55,7.50,11.47,0.44,0.09,0.11,5.73,0.02,13.75,5.38,26.71
DeepSeek-R1-Distill-Qwen-1.5B,0.45,0.01,0.41,0.05,0.07,0.02,0.15,0.14,4.98,0.14,0.57,0.00,9.76,0.17,0.09,0.09,0.19,0.26,0.17,0.91,0.06,0.09,0.34,0.13,0.30,0.02,0.53,0.98,0.05,0.07,0.04,0.80,0.06,0.56,0.28,5.04,0.28,0.08,0.04,0.10,0.01,0.44,2.58,0.09,0.12,0.09,0.40,0.15,0.19,0.12,1.15,1.12,0.05,0.04,0.21,0.45,0.12,0.14,0.04,1.14,0.15,0.19,0.01,1.92,0.27,0.03,0.45,0.18,0.03,0.23,0.24,0.08,1.01,0.25,0.02,0.06,0.10,0.08,1.64,0.20,0.02,0.31,3.11,0.02,0.12,0.26,0.45,0.02,1.99,0.42,0.11,0.08,0.11,0.26,0.46,0.19,0.99,0.04,0.07,0.13,0.06,0.36,0.00,0.15,0.08,0.56,0.01,0.36,0.45,0.06,0.39,2.47,0.01,0.04,0.16,0.05,0.42,1.85,0.60,0.16,0.60,1.01,0.07,0.40,0.32,1.31,0.24,0.04,0.07,0.08,0.02,0.10,0.04,0.15,0.58,0.51,0.58,0.04,0.12,0.11,0.08,1.02,0.15,0.16,0.03,0.27,0.12,0.12,0.01,0.02,1.98,0.16,0.09,0.11,0.38,0.05,0.16,0.37,0.68,1.14,0.09,0.04,0.73,0.02,0.27,0.46,0.70,0.31,0.88,0.08,0.01,0.76,0.66,0.25,0.43,0.34,0.65,0.06,0.09,0.60,0.01,0.07,0.05,0.01,0.06,0.45,0.50,0.78,0.01,0.25,0.11,0.08,0.83,0.03,0.25,0.11,0.60,0.02,0.01,0.38,0.01,0.17,0.30,3.91
DeepSeek-R1-Distill-Qwen-7B,1.42,0.00,0.09,0.35,1.82,0.03,0.08,0.09,22.85,0.10,0.09,0.00,22.63,2.21,0.84,1.56,0.44,2.84,0.06,0.15,1.18,2.66,0.68,0.27,0.06,1.68,0.47,0.81,0.15,1.56,0.08,3.28,0.14,0.35,0.20,18.35,4.27,0.21,0.44,1.87,0.12,0.33,4.92,0.17,0.50,1.12,0.29,0.52,0.46,0.63,6.74,8.36,0.14,0.17,0.10,0.86,0.24,0.48,0.25,8.53,0.15,0.42,0.00,1.17,2.27,0.02,0.27,0.20,0.29,0.38,2.59,0.09,0.52,4.04,0.05,0.13,0.14,0.35,5.06,0.17,0.02,0.06,8.92,0.11,0.46,1.30,2.64,0.07,9.81,0.13,0.54,0.26,0.39,0.90,0.44,0.18,0.33,0.07,1.27,0.69,0.23,0.20,0.01,0.31,0.26,6.33,0.13,0.24,0.18,0.37,0.06,5.05,0.05,1.04,0.09,0.41,3.10,10.98,2.14,0.03,0.10,3.02,0.15,0.33,1.40,0.84,0.15,0.19,0.63,0.12,0.02,0.78,0.21,0.62,0.63,2.53,0.13,0.13,0.72,0.11,0.15,0.76,0.30,0.23,0.04,0.08,0.31,0.05,0.01,0.07,4.74,0.07,0.21,1.38,2.29,0.07,0.05,1.49,0.04,6.65,0.07,0.86,1.03,0.02,0.09,0.08,3.66,3.11,3.87,0.22,0.02,1.87,0.04,0.10,0.11,3.25,0.30,0.08,0.72,1.63,0.28,0.62,0.25,0.17,0.41,0.47,3.06,0.78,0.03,0.52,0.72,0.08,3.28,0.00,0.22,0.30,0.13,0.02,0.02,0.38,0.01,2.02,0.11,13.63
EMMA-500 Llama 2 7B,15.58,2.56,25.35,12.57,18.85,16.21,1.14,0.70,42.26,15.58,19.23,0.12,22.31,21.99,22.31,20.71,24.99,18.94,2.44,1.42,21.99,13.67,24.77,0.66,0.75,22.32,12.72,30.83,0.26,18.97,0.35,31.96,2.28,6.23,2.04,42.85,30.75,23.70,23.76,20.36,11.19,1.64,17.52,5.73,11.93,25.65,20.16,41.21,19.78,23.60,42.60,37.69,3.92,11.36,1.15,10.28,6.39,30.43,20.66,38.85,0.27,0.22,0.10,9.42,19.87,8.02,8.06,0.51,10.68,7.93,14.47,0.11,8.31,37.38,14.43,12.29,12.93,2.33,27.17,3.96,2.27,2.24,33.07,14.31,15.35,20.59,15.55,17.43,27.92,3.12,30.78,22.19,11.00,11.95,24.01,19.05,2.34,8.99,17.60,12.95,17.64,25.05,2.06,4.27,22.10,34.01,2.05,8.90,2.88,20.76,0.11,32.18,6.59,29.09,6.14,29.31,29.91,38.34,29.49,0.54,0.18,26.10,13.21,14.58,26.86,30.01,0.67,17.20,41.64,14.35,19.50,20.80,1.87,33.05,24.96,28.46,5.37,5.03,15.21,19.41,14.50,19.81,20.70,1.41,14.44,6.19,2.21,12.88,0.49,11.63,20.91,8.98,9.72,14.01,27.13,4.21,10.40,14.12,1.06,39.67,0.27,8.37,6.28,0.21,0.72,0.26,22.86,28.20,33.66,20.54,12.34,22.88,0.13,21.09,0.49,35.69,1.11,5.83,25.33,24.33,14.83,18.36,22.63,7.49,18.99,17.29,26.83,12.43,9.82,19.81,27.02,14.38,30.57,32.59,20.13,27.89,0.76,23.66,2.61,17.35,1.86,22.67,6.30,26.94
