Model,Avg,vie_Latn,tgk_Cyrl,tha_Thai,fas_Arab,kin_Latn,lao_Laoo,fra_Latn,tur_Latn,mya_Mymr,ita_Latn,hun_Latn,hrv_Latn,hin_Deva,pol_Latn,guj_Gujr,sin_Sinh,bos_Latn,mar_Deva,slk_Latn,tel_Telu,mlg_Latn,mal_Mlym,ces_Latn,ori_Orya,afr_Latn,srp_Cyrl,slv_Latn,ell_Grek,amh_Ethi,pan_Guru,tir_Ethi,ben_Beng,ara_Arab,ukr_Cyrl,por_Latn,khm_Khmr,ron_Latn,aze_Latn,kan_Knda,lit_Latn,rus_Cyrl,kat_Geor,uzb_Latn,ind_Latn,nep_Deva,urd_Arab,bul_Cyrl,deu_Latn,sqi_Latn,zho_Hans,kur_Latn,tam_Taml,isl_Latn,hye_Armn,spa_Latn
aya-23-8B,0.6594,0.6847,0.5598,0.6601,0.6656,0.5801,0.8448,0.6753,0.6693,0.6512,0.6616,0.6303,0.6408,0.6632,0.6038,0.6486,0.8493,0.6191,0.6417,0.6114,0.6255,0.6088,0.6251,0.6116,0.9003,0.6130,0.6086,0.5858,0.6641,0.9500,0.6404,0.9535,0.6406,0.6682,0.6334,0.6910,0.7951,0.6503,0.6436,0.6258,0.6172,0.6408,0.5957,0.5774,0.7010,0.6379,0.5882,0.6156,0.6597,0.6256,0.6190,0.5976,0.6310,0.6147,0.5986,0.6512
aya-expanse-8b,0.6766,0.6981,0.5938,0.6657,0.6870,0.6357,0.8576,0.6893,0.6963,0.6677,0.6714,0.6482,0.6612,0.6684,0.6374,0.6523,0.8508,0.6365,0.6507,0.6105,0.6407,0.6498,0.6382,0.6198,0.9076,0.6288,0.6515,0.6237,0.6722,0.9418,0.6514,0.9431,0.6440,0.6865,0.6422,0.7033,0.8284,0.6656,0.6406,0.6503,0.6259,0.6534,0.6046,0.5897,0.7039,0.6472,0.6569,0.6270,0.6527,0.6574,0.6220,0.7121,0.6403,0.6409,0.6177,0.6526
Babel-9B,0.2943,0.2632,0.2222,0.6338,0.4557,0.3494,0.4165,0.1726,0.3466,0.6176,0.3891,0.3078,0.2536,0.2245,0.1282,0.0771,0.5029,0.1519,0.1547,0.0277,0.4538,0.1372,0.2712,0.0798,0.6293,0.1408,0.0161,0.0345,0.4516,0.7944,0.0845,0.8263,0.2471,0.1970,0.3280,0.4569,0.5453,0.0936,0.2953,0.5734,0.1871,0.1487,0.5224,0.4427,0.2291,0.1139,0.5191,0.1706,0.0993,0.0955,0.0907,0.2038,0.3497,0.2758,0.0513,0.3355
bloom-7b1,0.6436,0.6456,0.6158,0.6622,0.6051,0.6036,0.8310,0.6412,0.6113,0.6743,0.6268,0.6109,0.6095,0.6558,0.6106,0.6584,0.8417,0.6051,0.6333,0.5948,0.6258,0.6553,0.6294,0.5872,0.4083,0.6136,0.6189,0.5905,0.6314,0.9106,0.6370,0.9349,0.6294,0.6455,0.6161,0.6499,0.8878,0.5945,0.6279,0.6110,0.5919,0.6122,0.5908,0.6133,0.6448,0.6155,0.6373,0.6100,0.6345,0.6083,0.5958,0.7071,0.6301,0.6197,0.6187,0.6281
bloomz-7b1,0.5720,0.6417,0.5739,0.5090,0.5870,0.6215,0.4416,0.6247,0.5869,0.3119,0.5925,0.5864,0.5600,0.6468,0.5757,0.6434,0.4144,0.5563,0.6211,0.5823,0.6119,0.5985,0.5759,0.5542,0.3720,0.5758,0.5784,0.5558,0.5764,0.4710,0.6012,0.4802,0.6095,0.6340,0.5719,0.6351,0.6418,0.5791,0.6074,0.5934,0.5562,0.5722,0.4545,0.5694,0.6103,0.6028,0.6245,0.5720,0.5999,0.5767,0.5859,0.6290,0.6243,0.5912,0.5738,0.6158
CodeLlama-7b-hf,0.6451,0.6445,0.6082,0.6649,0.6335,0.6402,0.8293,0.5795,0.6424,0.6239,0.6381,0.6222,0.6290,0.6551,0.6063,0.5999,0.8386,0.5950,0.6512,0.6059,0.5522,0.6437,0.6159,0.5946,0.8781,0.5786,0.5641,0.5976,0.6312,0.9550,0.6251,0.9576,0.6260,0.6515,0.6125,0.6092,0.8436,0.6205,0.6373,0.5697,0.6079,0.6067,0.5703,0.6124,0.6609,0.6451,0.6172,0.6060,0.5842,0.6269,0.6294,0.5813,0.6384,0.6062,0.6220,0.5946
EMMA-500 Llama 2 7B,0.6380,0.6231,0.6318,0.5988,0.6203,0.6524,0.6627,0.6408,0.6170,0.6543,0.6325,0.6354,0.6325,0.6415,0.6243,0.6050,0.7676,0.6131,0.6261,0.6012,0.5743,0.6776,0.6260,0.6065,0.8235,0.6275,0.6203,0.6240,0.6179,0.7458,0.5921,0.7596,0.6034,0.6214,0.6229,0.6429,0.8182,0.6240,0.6290,0.5990,0.6133,0.6155,0.5879,0.6369,0.6529,0.6393,0.6210,0.6093,0.6350,0.6340,0.5955,0.6498,0.6224,0.6304,0.5805,0.6278
EuroLLM-9B,0.6224,0.6286,0.6107,0.6448,0.6392,0.6380,0.5798,0.6499,0.6485,0.5084,0.6450,0.6353,0.6495,0.6586,0.6319,0.4887,0.7021,0.6217,0.6341,0.6048,0.5032,0.6600,0.5051,0.6140,0.6362,0.6232,0.6239,0.6138,0.6533,0.7425,0.4963,0.7377,0.5747,0.6487,0.6230,0.6600,0.7812,0.6413,0.6293,0.4627,0.6230,0.6175,0.5948,0.6143,0.6520,0.6345,0.6304,0.6086,0.6458,0.6273,0.6080,0.6818,0.5839,0.6241,0.6078,0.6279
EuroLLM-9B-Instruct,0.6540,0.6430,0.6197,0.6568,0.6420,0.6415,0.6836,0.6538,0.6521,0.5735,0.6488,0.6370,0.6532,0.6605,0.6308,0.6324,0.8110,0.6226,0.6363,0.6021,0.6167,0.6703,0.6097,0.6085,0.8186,0.6258,0.6271,0.6067,0.6575,0.9162,0.6153,0.9209,0.6313,0.6523,0.6258,0.6623,0.8578,0.6446,0.6282,0.5704,0.6237,0.6200,0.5997,0.6224,0.6548,0.6337,0.6366,0.6157,0.6482,0.6303,0.6115,0.7067,0.6287,0.6264,0.6144,0.6293
gemma-2-9b,0.5970,0.5732,0.6111,0.6443,0.5728,0.5676,0.8324,0.5090,0.6017,0.6382,0.6112,0.5496,0.6430,0.6278,0.5528,0.6521,0.7634,0.5607,0.5228,0.5393,0.6413,0.6530,0.6361,0.4925,0.9011,0.5573,0.5444,0.5491,0.5386,0.9258,0.6138,0.7276,0.5667,0.5177,0.5913,0.5192,0.8726,0.5097,0.5812,0.6136,0.5142,0.5485,0.5912,0.5547,0.4500,0.6092,0.6015,0.5288,0.4477,0.5753,0.5746,0.4118,0.5816,0.6230,0.5832,0.5155
gemma-2-9b-it,0.6639,0.6864,0.6092,0.6831,0.6827,0.5431,0.8121,0.6888,0.7064,0.6360,0.6760,0.6600,0.6766,0.6835,0.6483,0.6732,0.8296,0.6449,0.6463,0.6007,0.6587,0.6818,0.6538,0.6549,0.6854,0.6305,0.6529,0.6357,0.6805,0.9088,0.6670,0.6176,0.6641,0.6844,0.6471,0.7060,0.8514,0.6687,0.6413,0.6601,0.6396,0.6468,0.5705,0.6220,0.7087,0.6677,0.6639,0.6309,0.6671,0.6807,0.6028,0.4923,0.6218,0.6660,0.5406,0.6541
