Model,Avg,bod_Tibt,vie_Latn,tgk_Cyrl,som_Latn,heb_Hebr,tha_Thai,fas_Arab,kin_Latn,lao_Laoo,fra_Latn,orm_Latn,tur_Latn,xho_Latn,mya_Mymr,ita_Latn,hun_Latn,hrv_Latn,hat_Latn,mon_Cyrl,prs_Arab,yor_Latn,hin_Deva,gle_Latn,pol_Latn,guj_Gujr,sin_Sinh,bos_Latn,asm_Beng,sna_Latn,aym_Latn,mar_Deva,run_Latn,slk_Latn,tel_Telu,mlg_Latn,nde_Latn,mal_Mlym,ces_Latn,ori_Orya,cat_Latn,afr_Latn,gla_Latn,srp_Cyrl,swa_Latn,slv_Latn,ell_Grek,epo_Latn,amh_Ethi,pan_Guru,cym_Latn,swe_Latn,yue_Hant,nld_Latn,kir_Cyrl,tir_Ethi,ben_Beng,ara_Arab,ibo_Latn,ukr_Cyrl,por_Latn,khm_Khmr,ron_Latn,lin_Latn,aze_Latn,kan_Knda,hau_Latn,lit_Latn,rus_Cyrl,fil_Latn,mkd_Cyrl,pus_Arab,lav_Latn,kat_Geor,uzb_Latn,ind_Latn,nep_Deva,urd_Arab,bul_Cyrl,jpn_Jpan,deu_Latn,sqi_Latn,zho_Hans,kor_Hang,kur_Latn,tam_Taml,isl_Latn,hye_Armn,spa_Latn
aya-23-8B,0.6585,0.8169,0.6856,0.5898,0.6655,0.5821,0.6931,0.6952,0.6113,0.7971,0.6806,0.6263,0.6894,0.5942,0.6533,0.6544,0.6413,0.6362,0.6210,0.6006,0.6966,0.6458,0.7034,0.6072,0.6129,0.6716,0.6745,0.6465,0.6272,0.6140,0.5871,0.6587,0.6269,0.5961,0.6372,0.6262,0.6173,0.6358,0.6184,0.8990,0.6827,0.6251,0.6281,0.6030,0.6196,0.6048,0.6810,0.6424,0.9618,0.5815,0.6264,0.6788,0.6768,0.6983,0.6592,0.9516,0.6548,0.6830,0.6650,0.6419,0.7110,0.7753,0.6402,0.6025,0.6371,0.6270,0.6167,0.6620,0.6635,0.6459,0.6127,0.6811,0.6116,0.6100,0.6070,0.7017,0.6931,0.5593,0.6268,0.6390,0.6710,0.6376,0.6608,0.7262,0.6400,0.6436,0.6316,0.6175,0.6939
aya-expanse-8b,0.6768,0.8456,0.6842,0.6051,0.6714,0.5947,0.7026,0.7131,0.6327,0.7962,0.6962,0.6361,0.7071,0.5802,0.6744,0.6574,0.6510,0.6632,0.6555,0.6082,0.7174,0.6667,0.7050,0.6336,0.6477,0.6820,0.8521,0.6588,0.5948,0.6559,0.6030,0.6705,0.6600,0.6042,0.6511,0.6688,0.6398,0.6466,0.6442,0.8984,0.7155,0.6402,0.6418,0.6627,0.6486,0.6351,0.6803,0.6548,0.9513,0.6344,0.6606,0.7036,0.6840,0.6923,0.7033,0.9450,0.6701,0.6990,0.7022,0.6683,0.7016,0.8179,0.6426,0.6360,0.6414,0.6682,0.6271,0.6527,0.6738,0.6958,0.6366,0.7263,0.6152,0.6020,0.5884,0.7075,0.6979,0.6973,0.6484,0.6499,0.6577,0.6557,0.6588,0.6236,0.7236,0.6725,0.6345,0.6352,0.6984
Babel-9B,0.3393,0.8544,0.3692,0.2200,0.5354,0.3923,0.6562,0.5729,0.1531,0.5462,0.2406,0.3311,0.3871,0.5132,0.6592,0.3865,0.3385,0.2169,0.5092,0.4864,0.4656,0.4534,0.2046,0.2635,0.2472,0.0863,0.6116,0.1878,0.5992,0.3174,0.4654,0.1343,0.2324,0.0461,0.4655,0.1971,0.3630,0.5213,0.1581,0.7142,0.2628,0.1204,0.2251,0.0117,0.0877,0.0942,0.4874,0.1834,0.8999,0.1622,0.0389,0.1717,0.6000,0.2791,0.0234,0.8814,0.2921,0.2180,0.3387,0.3335,0.4727,0.7086,0.1191,0.6106,0.2360,0.5851,0.2697,0.2325,0.3099,0.0902,0.1396,0.2171,0.2990,0.4840,0.4766,0.3741,0.0420,0.5610,0.1530,0.4522,0.1974,0.1139,0.3688,0.2795,0.1711,0.3387,0.3085,0.0364,0.3952
bloom-7b1,0.6230,0.8424,0.6165,0.6160,0.6519,0.5619,0.6709,0.6268,0.5650,0.8042,0.6147,0.6536,0.6356,0.3691,0.6670,0.6406,0.6178,0.6138,0.6399,0.6130,0.6411,0.6642,0.6134,0.6154,0.6183,0.5949,0.8756,0.6205,0.5646,0.6168,0.5941,0.4021,0.6172,0.5930,0.6189,0.6463,0.5473,0.3617,0.5984,0.3821,0.6427,0.6209,0.6326,0.6036,0.6618,0.6012,0.6369,0.6317,0.9340,0.5155,0.6207,0.6023,0.6508,0.6504,0.6342,0.9200,0.6115,0.6238,0.6777,0.6282,0.6703,0.8575,0.6178,0.6226,0.6280,0.4554,0.6387,0.5254,0.6269,0.6301,0.6230,0.6933,0.5985,0.5920,0.6142,0.6298,0.4519,0.6234,0.6333,0.5932,0.6501,0.6244,0.6529,0.5290,0.5899,0.6355,0.6119,0.6328,0.6630
bloomz-7b1,0.2975,0.2922,0.5961,0.3094,0.1661,0.2556,0.5089,0.1374,0.1280,0.1799,0.5818,0.1038,0.3503,0.0776,0.3238,0.4887,0.3911,0.1687,0.1375,0.3301,0.1527,0.4742,0.5687,0.0436,0.1975,0.5588,0.4500,0.0954,0.0066,0.3658,0.0817,0.2374,0.2392,0.0536,0.5808,0.0292,0.0479,0.5036,0.0499,0.2609,0.4965,0.1896,0.0781,0.0876,0.2970,0.1130,0.4695,0.0560,0.1210,0.0355,0.2573,0.2436,0.7224,0.2030,0.3183,0.2196,0.5688,0.5633,0.4229,0.3628,0.6867,0.5871,0.1713,0.3979,0.4654,0.5669,0.1015,0.0307,0.5804,0.0318,0.1451,0.2532,0.0098,0.4455,0.1251,0.6750,0.5857,0.5449,0.3354,0.1376,0.4458,0.1767,0.5792,0.4479,0.0135,0.1424,0.0144,0.5784,0.5551
CodeLlama-7b-hf,0.6483,0.8582,0.6492,0.6134,0.6589,0.5887,0.6847,0.6457,0.6230,0.7786,0.5429,0.6559,0.6638,0.6148,0.6509,0.6332,0.6280,0.6260,0.6339,0.6104,0.6532,0.6681,0.6646,0.6063,0.6193,0.6569,0.8482,0.6210,0.6207,0.6362,0.6112,0.6605,0.6383,0.5862,0.6265,0.6506,0.6506,0.6163,0.6007,0.8856,0.6506,0.5959,0.6179,0.5877,0.6306,0.6064,0.6384,0.6172,0.9469,0.6113,0.5990,0.6487,0.6904,0.6300,0.6332,0.9485,0.6377,0.6686,0.6922,0.6201,0.5966,0.8358,0.6029,0.6189,0.6314,0.6526,0.6454,0.6263,0.6121,0.6111,0.6094,0.7095,0.5891,0.5727,0.6285,0.6488,0.6638,0.6208,0.6085,0.5051,0.6064,0.6344,0.6666,0.6516,0.6309,0.6442,0.6177,0.6291,0.6317
EMMA-500 Llama 2 7B,0.6514,0.8420,0.6444,0.5966,0.6594,0.6011,0.5754,0.5964,0.6293,0.7744,0.6016,0.5886,0.6907,0.6335,0.6420,0.6347,0.6353,0.6361,0.6689,0.6358,0.6171,0.6720,0.6703,0.6567,0.6348,0.5952,0.8337,0.5956,0.6329,0.6793,0.6235,0.6652,0.6252,0.5910,0.5825,0.6933,0.6412,0.6541,0.6199,0.8761,0.6174,0.6286,0.6499,0.6100,0.6654,0.6148,0.6457,0.6275,0.9543,0.5665,0.5957,0.6537,0.6840,0.6432,0.6427,0.9091,0.6072,0.6247,0.6857,0.6337,0.6393,0.8202,0.5950,0.6346,0.6462,0.6157,0.6625,0.6370,0.6391,0.6825,0.6173,0.6444,0.6118,0.5925,0.6408,0.6641,0.6538,0.6519,0.6292,0.6156,0.6277,0.6367,0.6396,0.6582,0.6815,0.6320,0.6536,0.5747,0.6229
EuroLLM-9B,0.6626,0.8526,0.6584,0.6516,0.6569,0.5971,0.6803,0.6759,0.6228,0.7943,0.6957,0.6431,0.7362,0.6273,0.5256,0.6630,0.6581,0.6694,0.6457,0.6166,0.6797,0.6751,0.7129,0.7057,0.6681,0.5207,0.7357,0.6675,0.5873,0.6432,0.6015,0.6727,0.6411,0.5936,0.5072,0.6195,0.6351,0.5561,0.6612,0.8735,0.6310,0.6436,0.6463,0.6551,0.6326,0.6615,0.6997,0.6552,0.9692,0.4618,0.6203,0.7044,0.7118,0.7117,0.6996,0.9576,0.5834,0.7145,0.6978,0.6696,0.7198,0.7861,0.6623,0.6323,0.6569,0.4700,0.6245,0.6790,0.6934,0.6555,0.6112,0.7136,0.6232,0.5905,0.6332,0.6930,0.7202,0.6655,0.6601,0.6448,0.6828,0.6565,0.6821,0.6427,0.5731,0.6020,0.6590,0.6181,0.7014
EuroLLM-9B-Instruct,0.6787,0.8556,0.6861,0.6525,0.6599,0.6060,0.6846,0.6852,0.6277,0.8030,0.7049,0.6486,0.7401,0.6297,0.5904,0.6733,0.6640,0.6736,0.6602,0.6298,0.6870,0.6786,0.7221,0.7069,0.6675,0.6349,0.8459,0.6703,0.6221,0.6389,0.6113,0.6839,0.6427,0.6068,0.6285,0.6357,0.6440,0.6173,0.6410,0.8922,0.7161,0.6471,0.6473,0.6555,0.6403,0.6419,0.7009,0.6725,0.9691,0.5915,0.6243,0.7146,0.6980,0.7247,0.7086,0.9572,0.6408,0.7215,0.7030,0.6848,0.7262,0.8414,0.6640,0.6394,0.6617,0.5773,0.6373,0.6750,0.6962,0.6727,0.6334,0.7177,0.6281,0.6008,0.6383,0.7071,0.7181,0.6823,0.6650,0.6493,0.6849,0.6582,0.6911,0.6494,0.5625,0.6317,0.6630,0.6287,0.7088
gemma-2-9b,0.5811,0.8530,0.5833,0.5872,0.6082,0.5859,0.6603,0.5569,0.5271,0.7774,0.5365,0.6079,0.6024,0.6081,0.6774,0.5936,0.5797,0.6382,0.6187,0.6350,0.4191,0.6393,0.6346,0.6045,0.5066,0.6607,0.6873,0.5164,0.6283,0.6537,0.5575,0.4637,0.6415,0.5188,0.5610,0.6756,0.3903,0.6309,0.4837,0.8626,0.5089,0.5549,0.5702,0.5198,0.6071,0.5669,0.5069,0.5898,0.9375,0.5747,0.5160,0.4875,0.6231,0.5144,0.6613,0.7574,0.5670,0.4577,0.6304,0.5683,0.5551,0.8409,0.4649,0.6424,0.5568,0.6324,0.6085,0.4851,0.5237,0.5877,0.4340,0.5651,0.5429,0.5144,0.5423,0.3934,0.6446,0.5505,0.5360,0.5605,0.4526,0.5129,0.5589,0.6028,0.3973,0.5691,0.6093,0.4367,0.5248
