Model,Avg,bts_Batk,kri_Latn,bod_Tibt,cgg_Latn,vie_Latn,fry_Latn,tgk_Cyrl,som_Latn,heb_Hebr,div_Thaa,cnh_Latn,tha_Thai,ton_Latn,bci_Latn,alz_Latn,sus_Latn,fas_Arab,kin_Latn,lao_Laoo,tiv_Latn,hil_Latn,vec_Latn,que_Latn,hrx_Latn,mwr_Deva,zap_Latn,fra_Latn,nus_Latn,yid_Hebr,oci_Latn,lmo_Latn,orm_Latn,tur_Latn,min_Latn,ber_Tfng,xho_Latn,mya_Mymr,tcy_Knda,ita_Latn,bre_Latn,hun_Latn,hrv_Latn,fij_Latn,hat_Latn,glg_Latn,eus_Latn,jam_Latn,mon_Cyrl,chv_Cyrl,cha_Latn,din_Latn,smo_Latn,trp_Latn,ven_Latn,nbl_Latn,kaz_Cyrl,crs_Latn,yor_Latn,bam_Latn,glv_Latn,gom_Latn,ckb_Arab,chm_Cyrl,lus_Latn,lat_Latn,kon_Latn,szl_Latn,ssw_Latn,mak_Latn,kek_Latn,tyv_Cyrl,hin_Deva,nor_Latn,cos_Latn,gle_Latn,pol_Latn,sme_Latn,ewe_Latn,ber_Latn,guj_Gujr,tah_Latn,ltz_Latn,sin_Sinh,jav_Latn,ltg_Latn,tet_Latn,bos_Latn,asm_Beng,sot_Latn,pan_Arab,sah_Cyrl,sna_Latn,rom_Latn,aym_Latn,lim_Latn,mah_Latn,lug_Latn,dan_Latn,lij_Latn,bho_Deva,mar_Deva,mfe_Latn,run_Latn,slk_Latn,scn_Latn,tel_Telu,mlg_Latn,crh_Latn,mal_Mlym,nya_Latn,snd_Arab,kal_Latn,oss_Cyrl,ces_Latn,ori_Orya,cat_Latn,afr_Latn,wol_Latn,dov_Latn,gla_Latn,tuk_Latn,yua_Latn,ava_Cyrl,ace_Latn,srp_Cyrl,mni_Beng,bal_Arab,iba_Latn,swa_Latn,luo_Latn,udm_Cyrl,bew_Latn,slv_Latn,ach_Latn,ell_Grek,fao_Latn,mam_Latn,ban_Latn,ktu_Latn,nso_Latn,zho_Hant,epo_Latn,ilo_Latn,nhe_Latn,fon_Latn,amh_Ethi,pan_Guru,bak_Cyrl,bel_Cyrl,tpi_Latn,chk_Latn,tat_Cyrl,bua_Cyrl,cym_Latn,swe_Latn,war_Latn,yue_Hant,ful_Latn,nld_Latn,kir_Cyrl,tir_Ethi,san_Deva,shn_Mymr,ben_Beng,dyu_Latn,ara_Arab,msa_Latn,ibo_Latn,ukr_Cyrl,mai_Deva,por_Latn,khm_Khmr,abk_Cyrl,bam_Nkoo,awa_Deva,ron_Latn,lin_Latn,kha_Latn,aze_Latn,che_Cyrl,kan_Knda,btx_Latn,hau_Latn,aar_Latn,lit_Latn,uig_Arab,rus_Cyrl,dzo_Tibt,fil_Latn,mkd_Cyrl,fur_Latn,pus_Arab,ceb_Latn,lav_Latn,kat_Geor,gaa_Latn,hmn_Latn,pag_Latn,msa_Arab,mri_Latn,tso_Latn,uzb_Latn,new_Deva,ind_Latn,nep_Deva,aka_Latn,urd_Arab,bul_Cyrl,tsn_Latn,zul_Latn,jpn_Jpan,bik_Latn,mlt_Latn,fin_Latn,sag_Latn,pam_Latn,deu_Latn,bbc_Batk,kom_Cyrl,mad_Latn,tum_Latn,doi_Deva,sqi_Latn,zho_Hans,est_Latn,haw_Latn,kor_Hang,ndc_Latn,kur_Latn,tam_Taml,kau_Latn,sun_Latn,eng_Latn,isl_Latn,hye_Armn,bem_Latn,pap_Latn,spa_Latn,grn_Latn,kac_Latn
global_step10000,0.988,0.743,1.784,0.000,0.240,0.369,0.298,1.254,0.748,0.636,1.668,1.805,0.037,4.088,3.366,0.628,0.000,1.138,0.000,2.926,3.214,0.746,0.000,0.343,0.101,0.564,1.191,0.246,0.764,1.899,0.238,0.248,0.217,0.412,0.000,1.407,0.000,0.027,1.511,0.242,0.000,1.157,0.000,1.133,0.757,0.357,0.676,0.173,0.661,0.498,13.959,0.821,0.000,0.120,0.000,0.000,0.462,0.735,1.951,0.203,0.642,0.776,1.790,0.521,1.687,0.134,0.002,0.341,0.000,2.609,0.911,0.265,1.911,0.422,0.000,1.479,0.439,0.643,1.390,0.904,2.220,0.889,0.861,1.690,0.475,0.869,6.512,0.000,0.440,0.000,1.811,0.464,0.406,0.449,0.369,0.000,0.778,0.274,0.000,0.346,0.892,1.036,0.639,0.323,0.844,0.279,1.471,0.140,0.441,1.141,0.154,0.706,0.208,0.842,0.675,1.633,0.953,0.351,0.292,0.834,2.572,0.536,27.545,1.067,0.492,0.519,1.290,0.921,1.295,0.326,0.110,0.160,0.000,0.507,1.843,0.975,1.183,1.299,0.110,0.000,0.000,0.000,0.256,0.424,0.274,3.191,0.782,1.877,0.061,0.782,0.000,0.305,0.475,0.567,0.511,0.000,0.389,0.464,0.018,0.571,0.759,1.003,0.537,0.647,0.648,2.261,0.649,0.317,0.581,0.802,0.521,1.089,0.865,0.000,0.674,0.649,0.989,0.855,2.320,0.000,0.338,1.369,1.687,0.000,0.168,0.429,1.301,0.312,0.000,0.829,0.430,0.133,1.531,0.817,0.354,0.765,2.270,0.000,1.439,0.324,3.652,0.545,0.380,0.958,0.136,1.218,0.974,2.632,0.340,0.000,0.200,1.084,0.917,0.455,0.335,4.400,0.346,0.691,1.637,0.478,0.604,0.234,0.485,0.000,6.307,0.000,2.901,0.595,0.570,0.646,1.441,0.024,0.391,0.412,0.673,0.908,0.770,1.153,1.402,0.535,2.984
Llama-2-7b-hf,0.536,0.343,0.461,0.525,0.050,1.002,0.483,0.220,0.308,0.422,0.984,0.343,0.103,0.479,0.713,0.144,0.334,1.288,0.308,0.000,0.269,0.243,1.893,0.319,0.139,0.227,0.388,0.444,0.359,0.145,0.269,0.212,0.291,0.264,0.294,0.072,0.176,0.081,0.394,0.271,1.109,0.549,0.634,0.000,0.161,0.497,0.164,0.555,0.360,0.187,11.013,0.137,6.547,0.176,0.351,0.312,0.331,0.537,0.328,0.444,0.632,0.627,0.435,0.270,0.489,0.684,0.202,0.222,0.318,0.332,0.429,0.008,0.709,0.248,0.589,0.758,0.410,0.240,0.307,0.604,1.838,0.282,0.200,0.580,0.317,0.328,0.679,0.302,0.869,1.495,1.155,0.288,1.349,0.203,0.418,0.300,0.409,0.197,0.456,0.402,0.277,0.332,0.242,0.107,0.493,0.444,0.354,0.389,0.040,0.106,0.297,2.669,0.000,0.319,0.417,0.922,0.344,0.354,0.154,0.251,0.795,0.000,10.389,0.195,0.250,0.225,0.088,0.279,0.252,0.416,0.247,0.223,0.328,0.231,0.269,0.988,0.179,0.000,0.246,0.225,0.219,0.120,0.360,0.176,0.457,0.513,0.768,0.001,3.946,0.354,0.539,0.320,0.327,0.228,0.241,0.603,0.434,0.230,0.153,0.561,0.210,0.224,0.097,0.000,0.243,0.283,0.552,0.338,0.192,0.596,0.509,0.738,0.000,0.259,0.288,0.503,0.312,0.153,0.417,0.404,0.166,1.307,0.258,0.472,0.330,0.419,0.477,0.348,0.227,0.619,0.227,0.336,1.051,0.524,0.424,0.634,0.520,0.694,0.274,0.409,0.561,0.244,0.424,0.458,0.204,0.304,0.713,0.122,0.459,0.251,0.336,0.386,0.247,0.171,0.371,0.130,0.286,0.492,0.338,0.215,0.405,0.176,0.204,0.164,0.492,0.382,0.569,0.423,0.168,0.384,0.569,3.386,0.278,0.491,0.861,0.355,0.161,0.289,0.537,0.279,0.148
Llama-2-7b-chat-hf,1.155,0.398,2.788,0.000,0.541,1.119,0.535,1.075,1.984,0.980,0.795,1.911,0.735,3.362,1.327,2.210,1.248,0.464,0.983,0.190,1.255,1.028,0.421,1.050,0.655,0.730,2.875,0.818,2.952,1.521,1.166,0.829,0.728,0.590,0.658,4.731,1.679,0.000,0.957,0.802,0.873,1.319,0.871,1.839,0.663,0.692,0.726,1.099,0.728,0.473,0.870,1.070,0.471,1.390,2.447,1.648,0.501,1.263,2.314,1.831,0.824,0.579,0.462,0.938,0.066,1.870,1.689,0.799,2.030,0.765,1.713,1.061,0.972,0.700,0.815,0.948,0.627,2.161,2.948,2.870,2.015,1.799,1.127,1.419,0.933,0.871,0.896,0.890,1.504,0.105,0.976,1.039,2.218,0.882,1.484,0.807,1.793,1.761,0.952,0.766,0.749,0.524,1.310,2.369,0.661,1.092,0.239,1.585,1.376,0.887,1.673,0.003,0.319,2.112,0.770,0.153,1.311,0.855,1.317,2.145,0.838,0.672,0.958,1.956,0.905,0.881,1.555,0.290,0.437,1.303,2.041,1.249,1.082,1.245,1.250,0.741,0.837,1.924,0.912,1.286,2.597,0.975,0.874,0.779,1.917,0.075,0.137,0.335,0.660,0.807,1.718,1.282,0.714,0.759,1.779,0.789,0.403,0.609,2.267,1.005,0.958,1.413,5.539,0.000,1.727,3.320,0.514,0.513,0.160,0.646,1.163,1.571,0.000,1.260,0.282,0.631,1.186,2.037,1.292,0.828,1.121,1.306,0.822,2.210,2.064,0.714,0.766,0.729,2.454,1.598,0.387,0.433,0.779,1.218,0.407,0.548,3.013,0.368,0.578,0.759,2.058,2.571,0.829,0.956,0.627,1.004,1.918,0.516,0.305,2.059,1.667,1.281,0.343,0.721,1.310,2.565,0.738,0.557,0.587,0.997,0.838,1.493,0.427,0.184,0.000,0.672,2.714,0.879,1.874,1.940,0.892,1.506,0.721,1.342,0.957,0.667,1.238,0.431,0.395,1.018,1.543
CodeLlama-7b-hf,1.031,1.623,0.270,0.000,0.187,1.910,2.834,0.341,1.992,0.594,0.186,0.168,0.056,0.665,0.260,0.222,0.221,1.431,1.474,0.000,0.142,2.598,0.233,2.264,0.252,0.212,0.625,3.154,0.657,0.758,1.898,1.355,1.207,1.133,0.266,0.228,0.214,0.028,0.142,0.528,0.270,1.614,0.320,0.000,0.149,1.817,1.181,0.591,0.389,0.223,3.489,0.968,0.871,0.229,0.004,1.285,0.427,0.471,4.808,0.000,1.895,0.532,0.743,0.242,0.187,5.577,1.222,0.000,0.268,0.000,0.912,0.218,1.617,0.472,2.446,0.686,3.249,3.006,0.230,0.738,1.440,0.264,1.246,0.277,0.343,0.465,2.516,2.336,0.557,2.089,1.287,1.664,0.382,0.775,0.480,0.752,2.476,0.281,1.661,0.294,0.562,0.549,1.148,0.270,2.650,1.402,0.554,0.301,0.330,0.868,0.194,0.216,0.395,0.157,2.667,0.988,0.000,2.558,0.158,0.745,0.416,0.005,18.296,0.091,0.915,2.900,0.601,0.145,0.669,1.920,1.915,0.322,2.164,3.137,0.534,0.774,3.465,0.162,0.278,0.438,0.244,2.387,0.783,0.446,0.517,0.482,0.508,1.413,1.010,0.409,0.882,2.334,0.136,1.012,7.550,0.640,0.298,2.939,0.317,0.651,0.352,0.223,0.073,0.000,0.863,0.481,0.462,0.507,4.489,3.327,0.417,1.470,0.000,0.300,0.314,0.353,1.200,0.351,0.477,0.590,0.265,1.485,0.259,0.059,0.229,1.834,1.598,0.454,0.486,1.444,0.665,1.471,0.000,0.564,0.908,0.953,0.308,1.874,1.164,1.874,0.440,0.299,3.267,0.075,0.923,0.708,0.684,0.580,0.783,0.191,1.655,2.395,0.671,1.259,0.590,0.868,0.000,0.561,1.779,2.469,2.519,1.232,0.358,0.252,1.132,2.789,0.199,0.488,0.000,0.000,1.256,0.259,0.225,0.672,0.201,0.859,0.293,0.204,1.747,0.229,0.174
LLaMAX2-7B,0.956,0.000,0.085,0.000,0.228,1.632,0.927,1.662,1.169,0.710,0.045,0.377,1.566,1.267,0.709,0.421,0.141,1.744,0.557,3.066,0.232,1.471,0.395,0.173,0.222,0.453,0.665,0.381,0.444,0.630,0.505,0.370,0.571,0.574,0.250,1.099,0.995,0.015,0.586,0.660,0.097,0.917,0.741,0.750,1.633,0.989,0.502,0.200,1.199,0.764,0.797,0.256,3.811,0.196,0.110,0.742,0.975,0.413,2.908,0.326,0.655,0.516,0.915,0.586,0.705,0.533,0.600,0.837,0.445,7.268,0.730,0.542,2.079,0.244,0.710,2.039,0.944,0.352,0.416,1.221,2.327,5.115,0.889,1.382,0.423,0.882,1.655,0.740,1.435,0.483,2.601,0.628,0.671,0.292,0.241,0.630,0.825,0.641,0.948,0.399,0.755,1.406,0.438,0.434,0.730,0.564,1.602,1.905,0.060,0.959,0.482,2.029,0.539,0.642,0.710,1.270,1.023,0.170,0.412,0.244,3.240,0.445,14.652,0.614,0.352,0.792,0.000,0.518,0.273,1.051,0.514,0.452,0.738,0.679,0.308,1.358,0.775,0.376,0.451,0.226,1.375,0.742,1.152,0.977,0.347,0.589,1.274,2.198,0.761,1.166,0.739,0.352,0.514,0.393,1.347,0.622,0.303,0.248,0.598,0.542,0.814,0.220,0.543,0.520,1.084,0.491,0.513,0.681,0.753,0.905,0.764,0.405,4.756,0.256,0.472,1.323,0.724,1.954,0.576,0.992,0.827,1.671,0.434,0.675,0.341,1.236,0.620,0.569,0.811,0.803,0.776,0.553,2.341,1.983,0.811,1.207,0.653,1.233,0.399,0.606,3.740,0.637,0.972,0.165,0.656,1.036,0.778,1.372,1.527,0.683,1.028,0.630,1.445,1.171,1.106,0.745,0.425,0.627,0.773,0.500,0.327,1.069,0.431,1.282,0.773,1.174,2.923,1.523,1.314,2.615,0.983,0.036,0.545,0.393,1.438,1.370,0.331,0.433,0.404,0.286,1.293
LLaMAX2-7B-Alpaca,0.809,0.308,0.356,0.000,0.076,1.080,0.299,1.520,1.409,0.615,0.736,0.296,0.839,4.596,0.255,0.275,0.214,2.116,0.255,5.899,0.246,1.945,0.447,0.227,0.211,1.009,0.700,0.456,0.280,1.281,0.878,0.469,0.370,0.712,0.448,1.265,0.772,0.011,1.261,0.195,0.468,1.042,0.652,0.560,1.151,0.553,0.624,0.061,1.011,0.209,0.354,0.001,5.175,0.409,0.280,0.714,1.040,0.280,0.229,0.344,0.316,0.320,0.701,0.647,0.683,0.231,0.349,0.403,0.349,0.468,0.895,0.389,1.297,0.331,0.292,3.341,0.430,0.195,0.540,1.344,0.961,2.967,0.364,0.453,1.029,0.409,0.206,0.000,1.279,0.546,0.000,0.509,0.299,0.320,0.313,0.000,0.769,0.662,0.413,0.233,0.687,0.756,0.396,0.376,0.569,0.560,1.681,0.821,0.210,1.223,0.255,1.688,0.197,0.810,0.824,1.788,0.319,0.711,0.125,0.217,1.479,0.343,15.795,0.496,0.317,0.638,0.351,0.721,0.276,0.684,0.369,0.025,0.561,0.805,0.331,1.299,0.874,0.365,0.354,0.179,0.904,0.187,1.310,0.533,0.423,0.380,1.005,0.708,0.754,1.052,0.556,0.415,0.516,0.689,1.158,0.484,1.085,0.038,0.356,0.525,0.464,0.922,0.294,0.026,1.168,0.696,0.997,0.958,4.254,0.614,0.410,0.656,2.007,0.434,0.654,0.826,0.429,2.147,0.457,0.758,0.576,2.277,0.119,0.773,0.262,1.004,0.235,0.484,0.000,0.257,0.441,0.421,1.961,1.592,0.908,1.126,0.210,1.721,0.059,0.731,0.974,0.502,0.993,0.244,0.620,0.972,0.174,0.526,0.777,0.806,0.311,0.261,1.033,0.835,0.386,0.641,0.225,0.434,0.277,0.433,1.271,0.418,0.713,1.065,0.167,0.428,5.652,0.502,0.661,1.895,1.338,0.309,0.440,0.187,0.598,1.437,0.089,0.256,0.120,0.256,2.205
mala-500-10b-v2,4.006,4.546,13.756,0.128,11.135,9.688,6.188,1.441,0.355,10.045,4.484,10.558,0.339,16.917,13.150,4.523,0.061,3.286,1.718,0.263,17.192,7.814,1.618,1.063,1.137,0.196,8.813,5.429,1.027,3.933,3.036,1.112,0.999,2.144,2.124,1.944,0.269,0.013,2.314,9.873,2.693,1.651,2.827,9.924,1.039,3.675,4.712,3.595,0.280,9.055,0.000,1.616,6.857,0.140,9.388,5.446,0.517,7.581,2.516,5.724,3.779,0.247,0.099,1.657,9.801,0.184,0.229,6.650,0.382,1.143,6.446,4.178,4.540,11.904,0.665,0.587,6.435,2.495,8.146,1.061,1.720,15.963,0.534,2.750,4.051,3.098,6.369,11.323,1.572,1.620,11.173,0.709,0.425,0.255,3.982,6.568,2.217,2.193,6.789,1.563,0.766,4.077,6.529,2.107,5.393,2.726,0.896,17.611,2.648,0.869,1.506,1.469,1.813,2.696,5.584,0.304,5.150,8.557,1.011,5.459,4.514,0.997,0.236,0.438,6.542,3.181,11.132,0.087,0.383,3.262,1.866,8.005,5.311,6.462,1.185,3.530,1.111,0.365,2.691,15.936,8.628,0.000,3.237,12.133,8.646,12.308,0.433,7.171,1.490,3.322,23.101,11.343,0.560,0.430,1.584,12.224,0.543,0.000,0.141,7.819,0.442,2.714,1.665,0.016,1.276,9.910,0.957,4.726,2.090,1.129,6.113,7.331,0.000,0.541,1.071,2.619,7.902,10.600,0.701,1.707,0.512,2.091,1.576,3.438,0.238,2.803,0.401,0.504,0.176,13.731,1.864,1.358,0.593,3.737,2.828,1.828,8.551,6.143,5.736,3.835,8.726,7.595,1.262,0.165,4.422,1.218,4.107,4.719,5.645,1.737,0.403,0.005,6.787,1.919,6.797,15.125,0.348,3.830,1.083,8.420,0.073,4.385,0.285,5.791,0.000,10.765,3.159,0.826,2.320,3.483,0.181,0.840,4.200,6.829,4.636,1.315,0.000,3.987,5.686,1.706,2.296
mala-500-10b-v1,3.708,0.651,12.226,0.027,7.901,7.780,10.661,2.128,1.456,11.621,1.377,1.133,0.004,17.043,11.775,4.961,0.232,3.872,1.448,1.104,15.293,1.133,3.413,1.195,8.031,2.418,9.089,2.848,0.345,3.211,2.593,0.752,0.387,2.358,0.592,0.023,0.283,0.007,0.854,5.136,0.405,2.594,8.991,15.380,1.378,3.832,0.446,0.465,0.332,0.980,0.071,0.542,0.574,0.167,0.458,0.756,0.698,4.767,2.739,1.783,1.525,2.538,0.313,1.250,0.655,0.801,1.643,1.121,2.425,0.522,4.003,3.939,2.317,11.503,0.754,4.980,3.187,0.905,8.521,3.065,6.405,4.047,0.660,1.616,1.729,2.468,10.190,10.838,1.090,3.884,5.227,0.408,0.759,0.788,1.898,9.918,5.547,0.808,7.071,0.415,2.969,0.278,8.149,2.035,6.017,2.130,1.103,20.858,0.821,1.465,2.152,3.415,4.078,1.201,2.840,0.347,5.929,5.334,0.108,3.010,1.186,0.873,8.051,0.469,8.591,6.475,0.000,0.022,0.892,0.740,12.147,11.920,5.870,16.725,5.632,3.484,1.137,3.498,4.482,15.416,1.707,0.007,8.986,1.880,9.463,17.804,0.297,5.650,0.352,2.371,22.086,5.011,0.812,0.222,0.241,10.012,1.400,0.000,0.010,0.611,1.229,2.732,2.128,0.000,0.974,1.595,0.071,3.592,4.088,0.946,1.957,1.416,0.165,0.421,4.747,4.193,11.887,10.100,0.119,0.396,4.806,2.056,0.237,5.235,0.040,2.267,0.669,2.903,0.092,7.970,3.435,0.962,0.379,2.829,1.062,0.958,12.689,2.239,7.365,4.038,4.323,8.472,1.192,0.207,4.923,0.907,0.606,10.596,6.456,0.879,0.348,0.137,9.407,2.063,7.666,26.639,0.595,3.466,5.899,0.594,0.205,3.527,3.138,5.346,6.374,14.353,2.834,0.552,0.661,0.424,0.342,0.320,0.021,6.218,7.031,0.552,1.160,2.798,5.986,2.067,8.402
TowerInstruct-7B-v0.2,0.712,0.500,1.726,0.000,0.235,0.888,1.316,0.386,0.678,0.547,0.946,0.365,0.049,0.596,1.810,0.755,0.434,1.370,1.086,3.236,1.288,0.787,0.918,0.075,0.733,0.869,0.439,1.411,0.677,0.631,0.393,1.580,0.266,0.225,0.444,0.852,0.209,0.021,0.966,1.643,0.439,1.128,0.456,0.755,0.330,0.688,0.353,0.523,0.433,0.091,0.174,0.777,0.745,0.798,0.353,0.400,0.304,0.306,1.021,1.303,0.473,0.585,0.633,0.511,0.991,2.142,0.217,0.823,0.889,1.011,1.578,0.489,1.231,0.877,1.328,0.743,0.649,0.222,0.828,0.005,1.416,1.210,0.330,0.347,0.504,0.559,0.345,0.681,0.904,1.105,0.736,0.662,0.792,0.529,0.316,1.041,1.212,0.050,1.122,0.490,1.558,0.185,0.291,0.150,0.524,1.636,0.129,0.593,0.255,0.954,0.320,1.131,1.079,0.354,0.810,0.017,1.041,1.363,0.920,0.169,2.044,0.000,0.526,0.876,0.332,0.580,0.059,0.383,0.702,0.363,0.993,0.271,0.501,0.434,1.173,1.190,0.314,0.728,0.534,0.150,0.740,1.573,0.584,0.342,0.624,1.322,0.000,0.784,0.438,0.886,0.467,0.329,0.288,0.666,0.630,0.727,0.516,1.117,0.353,1.318,0.683,0.059,1.062,0.000,1.214,0.124,0.402,0.740,0.758,0.567,0.227,2.045,0.000,0.723,0.367,1.072,0.739,0.402,0.270,0.478,1.094,1.342,0.391,0.621,1.243,0.503,0.415,1.095,0.000,1.264,0.583,0.980,0.575,1.257,0.379,0.486,0.267,0.801,0.374,0.732,0.694,0.017,2.732,0.298,0.242,0.022,0.364,0.398,0.718,0.258,0.702,0.313,0.921,2.893,0.525,0.390,0.707,1.228,0.667,0.416,2.624,0.280,0.276,0.906,1.096,0.393,0.784,0.575,0.158,0.373,1.111,0.780,0.302,3.023,0.871,0.572,0.095,0.460,1.498,0.219,1.091
TowerBase-7B-v0.1,0.494,0.284,6.045,0.000,0.330,0.703,0.678,0.433,0.325,0.514,0.000,0.176,0.085,0.646,0.420,0.507,0.115,1.287,0.037,2.830,0.291,0.578,0.490,0.274,0.471,0.417,0.380,0.601,0.074,0.513,0.604,0.167,0.190,0.214,0.112,0.860,0.261,0.033,1.011,0.846,0.277,0.979,0.651,0.924,0.319,0.488,0.347,0.259,0.418,0.276,1.294,0.299,0.286,0.439,0.302,0.255,0.023,0.085,0.329,0.397,0.482,0.101,0.358,0.565,0.147,0.501,0.254,0.340,0.153,0.274,0.386,0.153,0.610,0.418,0.643,1.063,0.700,0.178,0.238,0.000,1.738,0.761,0.304,0.905,0.261,0.368,0.222,0.464,0.395,0.230,0.964,0.109,0.013,0.270,0.260,0.128,0.345,0.222,0.724,0.735,1.205,0.430,0.259,0.208,0.160,0.271,0.852,0.276,0.760,0.083,0.118,0.000,0.831,0.377,0.771,0.134,0.485,0.769,0.192,0.159,0.631,0.185,6.748,0.254,0.306,0.476,0.295,0.173,0.319,0.354,0.125,0.585,0.429,0.448,0.222,0.472,0.410,0.108,0.263,0.266,0.333,1.166,0.547,0.415,0.627,0.450,0.559,0.953,0.381,0.879,0.195,0.200,0.165,0.232,0.326,0.782,0.446,0.845,0.357,1.546,0.380,0.484,0.000,0.000,0.786,0.543,0.256,0.410,0.331,0.663,0.007,0.464,0.721,0.164,0.256,0.477,0.615,0.331,0.441,0.131,0.621,0.764,0.253,0.113,0.232,0.238,0.011,1.378,0.154,1.598,0.600,0.590,0.600,0.183,0.477,0.738,0.268,0.356,0.229,0.440,0.670,0.008,0.032,0.473,0.521,0.496,0.467,1.335,0.657,0.180,0.347,0.490,0.632,0.380,0.274,0.208,0.391,0.767,0.209,0.467,0.096,0.191,0.073,0.272,0.788,0.341,0.619,0.800,0.287,0.298,0.827,0.225,0.331,0.819,0.871,0.796,0.221,0.175,0.970,0.435,0.516
