Model,Avg,vie_Latn,som_Latn,tha_Thai,arb_Arab,srp_Latn,fra_Latn,tur_Latn,azj_Latn,mya_Mymr,yor_Latn,hin_Deva,guj_Gujr,sin_Sinh,mar_Deva,run_Latn,tel_Telu,gla_Latn,srp_Cyrl,pbt_Arab,zho_Hant,amh_Ethi,pan_Guru,cym_Latn,kir_Cyrl,pcm_Latn,pes_Arab,tir_Ethi,ben_Beng,ibo_Latn,ukr_Cyrl,gaz_Latn,por_Latn,uzn_Latn,hau_Latn,rus_Cyrl,ind_Latn,urd_Arab,jpn_Jpan,npi_Deva,zho_Hans,kor_Hang,tam_Taml,eng_Latn,swh_Latn,spa_Latn
bloom-7b1,0.648,0.632,0.596,0.605,0.660,0.609,0.627,0.653,0.614,0.637,0.628,0.617,0.631,0.593,0.623,0.616,0.646,0.922,0.637,0.663,0.877,0.635,0.625,0.648,0.633,0.547,0.680,0.643,0.617,0.626,0.563,0.928,0.661,0.663,0.642,0.606,0.630,0.586,0.644,0.638,0.621,0.650,0.627,0.629,0.657,0.665
bloomz-7b1,0.698,0.658,0.727,0.745,0.618,0.626,0.704,0.653,0.753,0.754,0.601,0.764,0.648,0.752,0.686,0.632,0.678,0.937,0.718,0.693,0.879,0.659,0.763,0.715,0.648,0.692,0.687,0.698,0.647,0.702,0.511,0.878,0.695,0.708,0.645,0.750,0.618,0.610,0.661,0.773,0.617,0.649,0.760,0.623,0.743,0.743
CodeLlama-7b-hf,0.657,0.641,0.644,0.654,0.672,0.626,0.644,0.682,0.620,0.667,0.624,0.654,0.595,0.660,0.617,0.638,0.619,0.918,0.636,0.642,0.839,0.609,0.665,0.653,0.664,0.632,0.665,0.642,0.587,0.627,0.542,0.914,0.668,0.695,0.661,0.662,0.606,0.598,0.637,0.676,0.608,0.651,0.664,0.639,0.663,0.664
gemma-2-9b,0.655,0.629,0.635,0.622,0.682,0.615,0.636,0.641,0.666,0.661,0.681,0.600,0.621,0.638,0.608,0.656,0.662,0.946,0.634,0.642,0.838,0.619,0.620,0.632,0.638,0.615,0.678,0.615,0.608,0.625,0.576,0.953,0.694,0.731,0.646,0.607,0.586,0.590,0.622,0.640,0.630,0.636,0.631,0.613,0.656,0.681
gemma-7b,0.645,0.610,0.620,0.679,0.594,0.578,0.642,0.607,0.632,0.674,0.662,0.591,0.623,0.876,0.610,0.631,0.620,0.621,0.581,0.726,0.658,0.938,0.613,0.626,0.625,0.566,0.614,0.937,0.625,0.666,0.605,0.630,0.652,0.567,0.637,0.631,0.594,0.640,0.676,0.590,0.668,0.642,0.608,0.622,0.628,0.596
global_step10000,0.672,0.647,0.683,0.675,0.663,0.589,0.670,0.597,0.650,0.671,0.692,0.675,0.665,0.877,0.672,0.650,0.639,0.673,0.581,0.723,0.652,0.915,0.641,0.640,0.639,0.661,0.616,0.929,0.653,0.704,0.621,0.640,0.656,0.593,0.664,0.624,0.624,0.675,0.679,0.683,0.666,0.679,0.663,0.734,0.662,0.638
Llama-2-7b-chat-hf,0.684,0.657,0.621,0.669,0.677,0.650,0.641,0.679,0.675,0.717,0.641,0.706,0.677,0.679,0.671,0.655,0.677,0.913,0.648,0.674,0.855,0.640,0.708,0.690,0.671,0.628,0.675,0.660,0.676,0.627,0.573,0.918,0.687,0.724,0.676,0.677,0.663,0.670,0.666,0.710,0.633,0.669,0.710,0.667,0.699,0.699
Llama-2-7b-hf,0.665,0.640,0.633,0.653,0.665,0.631,0.637,0.670,0.662,0.676,0.623,0.668,0.666,0.665,0.607,0.616,0.684,0.927,0.640,0.652,0.874,0.622,0.679,0.637,0.647,0.622,0.675,0.645,0.645,0.621,0.560,0.916,0.688,0.708,0.657,0.666,0.637,0.636,0.657,0.650,0.602,0.649,0.645,0.617,0.682,0.680
LLaMAX2-7B,0.646,0.631,0.633,0.630,0.641,0.605,0.631,0.665,0.629,0.621,0.606,0.602,0.619,0.631,0.585,0.615,0.648,0.932,0.614,0.630,0.880,0.626,0.650,0.632,0.601,0.622,0.661,0.620,0.607,0.624,0.569,0.926,0.642,0.696,0.629,0.627,0.597,0.610,0.653,0.618,0.615,0.662,0.639,0.589,0.642,0.661
LLaMAX2-7B-Alpaca,0.692,0.663,0.661,0.690,0.668,0.663,0.672,0.693,0.699,0.712,0.652,0.707,0.671,0.703,0.668,0.657,0.701,0.927,0.631,0.701,0.873,0.680,0.718,0.686,0.665,0.640,0.711,0.681,0.678,0.642,0.589,0.924,0.702,0.725,0.657,0.689,0.662,0.671,0.679,0.704,0.652,0.622,0.709,0.668,0.693,0.699
