Model,Avg,vie_Latn,som_Latn,tha_Thai,arb_Arab,srp_Latn,fra_Latn,tur_Latn,azj_Latn,mya_Mymr,yor_Latn,hin_Deva,guj_Gujr,sin_Sinh,mar_Deva,run_Latn,tel_Telu,gla_Latn,srp_Cyrl,pbt_Arab,zho_Hant,amh_Ethi,pan_Guru,cym_Latn,kir_Cyrl,pcm_Latn,pes_Arab,tir_Ethi,ben_Beng,ibo_Latn,ukr_Cyrl,gaz_Latn,por_Latn,uzn_Latn,hau_Latn,rus_Cyrl,ind_Latn,urd_Arab,jpn_Jpan,npi_Deva,zho_Hans,kor_Hang,tam_Taml,eng_Latn,swh_Latn,spa_Latn
bloom-7b1,0.070,0.052,0.102,0.018,0.047,0.073,0.120,0.056,0.042,0.010,0.136,0.089,0.058,0.037,0.073,0.060,0.036,0.120,0.088,0.130,0.001,0.028,0.061,0.109,0.038,0.136,0.125,0.052,0.018,0.116,0.052,0.050,0.119,0.021,0.102,0.058,0.076,0.115,0.000,0.021,0.001,0.037,0.052,0.130,0.132,0.144
bloomz-7b1,0.111,0.239,0.063,0.007,0.216,0.051,0.233,0.047,0.042,0.023,0.107,0.291,0.142,0.024,0.157,0.078,0.126,0.108,0.042,0.127,0.005,0.000,0.167,0.113,0.026,0.163,0.099,0.061,0.158,0.068,0.041,0.032,0.245,0.000,0.081,0.061,0.255,0.300,0.000,0.196,0.005,0.038,0.146,0.265,0.172,0.199
CodeLlama-7b-hf,0.072,0.099,0.103,0.021,0.080,0.081,0.156,0.065,0.050,0.012,0.090,0.114,0.032,0.034,0.042,0.074,0.014,0.103,0.086,0.137,0.000,0.022,0.059,0.073,0.037,0.125,0.106,0.049,0.040,0.104,0.074,0.043,0.147,0.014,0.106,0.072,0.107,0.111,0.000,0.044,0.002,0.045,0.027,0.155,0.110,0.152
gemma-2-9b,0.074,0.063,0.106,0.023,0.038,0.071,0.122,0.081,0.054,0.040,0.128,0.121,0.056,0.061,0.036,0.055,0.030,0.114,0.068,0.196,0.000,0.042,0.068,0.076,0.057,0.130,0.107,0.084,0.043,0.079,0.057,0.051,0.123,0.015,0.150,0.059,0.077,0.173,0.000,0.037,0.002,0.057,0.048,0.132,0.123,0.070
gemma-7b,0.067,0.046,0.081,0.026,0.046,0.060,0.139,0.058,0.065,0.042,0.105,0.095,0.033,0.061,0.050,0.052,0.019,0.096,0.053,0.184,0.001,0.042,0.061,0.092,0.048,0.082,0.110,0.084,0.029,0.077,0.060,0.049,0.146,0.009,0.116,0.079,0.054,0.145,0.000,0.031,0.002,0.045,0.015,0.130,0.106,0.091
global_step10000,0.086,0.094,0.120,0.020,0.084,0.082,0.114,0.059,0.075,0.048,0.112,0.143,0.055,0.057,0.092,0.066,0.034,0.154,0.080,0.167,0.000,0.033,0.078,0.116,0.051,0.163,0.090,0.077,0.051,0.129,0.066,0.039,0.128,0.017,0.133,0.076,0.109,0.157,0.000,0.082,0.001,0.067,0.063,0.223,0.147,0.108
Llama-2-7b-chat-hf,0.088,0.135,0.110,0.033,0.092,0.127,0.199,0.072,0.057,0.016,0.098,0.136,0.020,0.039,0.065,0.081,0.011,0.138,0.126,0.154,0.001,0.022,0.059,0.100,0.044,0.162,0.138,0.047,0.031,0.107,0.091,0.058,0.182,0.011,0.129,0.113,0.180,0.147,0.000,0.059,0.000,0.044,0.037,0.187,0.146,0.177
Llama-2-7b-hf,0.071,0.105,0.101,0.018,0.076,0.100,0.149,0.058,0.046,0.012,0.098,0.121,0.014,0.021,0.050,0.069,0.011,0.131,0.104,0.133,0.001,0.013,0.035,0.081,0.027,0.125,0.124,0.046,0.026,0.094,0.064,0.046,0.132,0.013,0.070,0.088,0.123,0.129,0.000,0.042,0.001,0.068,0.038,0.145,0.114,0.138
LLaMAX2-7B,0.053,0.053,0.062,0.003,0.037,0.082,0.111,0.029,0.026,0.001,0.085,0.078,0.020,0.020,0.037,0.046,0.013,0.129,0.079,0.108,0.000,0.008,0.040,0.084,0.031,0.098,0.077,0.045,0.026,0.078,0.037,0.045,0.127,0.003,0.074,0.059,0.045,0.098,0.000,0.021,0.001,0.032,0.010,0.106,0.086,0.133
LLaMAX2-7B-Alpaca,0.101,0.145,0.083,0.013,0.112,0.129,0.198,0.078,0.086,0.033,0.134,0.189,0.073,0.041,0.101,0.088,0.040,0.156,0.127,0.172,0.001,0.055,0.071,0.152,0.065,0.164,0.133,0.056,0.054,0.119,0.095,0.045,0.186,0.004,0.117,0.116,0.177,0.193,0.000,0.086,0.001,0.084,0.026,0.183,0.193,0.176
