Model,Avg_flexible-match,bn,bn-stderr,de,de-stderr,en,en-stderr,es,es-stderr,fr,fr-stderr,ja,ja-stderr,ru,ru-stderr,sw,sw-stderr,te,te-stderr,th,th-stderr,zh,zh-stderr
Llama 2 7B,6.363636363636366,2.0,0.8872139507342681,7.6,1.6793573067859642,16.0,2.3232714782060655,12.4,2.0886382258673257,9.2,1.8316275379429643,3.5999999999999996,1.1805655169278135,8.0,1.7192507941462987,2.0,0.8872139507342681,0.8,0.5645483676690176,1.6,0.7951661188874346,8.0,1.719250794146297
Llama 2 7B Chat,10.909090909090912,2.4,0.9699087026964247,17.599999999999998,2.4133497525457104,27.200000000000003,2.8200088296310004,19.2,2.496069198917201,18.8,2.476037772775049,4.0,1.2418408411301303,15.2,2.2752024491765463,2.0,0.8872139507342682,0.8,0.5645483676690176,2.8000000000000003,1.0454721651927295,11.600000000000001,2.0293429803083867
CodeLlama 2 7B,6.6363636363636385,1.6,0.7951661188874347,9.2,1.8316275379429643,13.200000000000001,2.1450980824038095,10.8,1.9669559381568753,10.8,1.9669559381568753,4.3999999999999995,1.2997373846574958,7.6,1.6793573067859633,1.2,0.6900323023694304,1.6,0.7951661188874325,6.0,1.5050117079158747,4.0,1.24184084113013
LLaMAX Llama 2 7B,3.6181818181818195,3.5999999999999996,1.1805655169278133,3.5999999999999996,1.1805655169278133,7.199999999999999,1.6381005750490105,3.5999999999999996,1.1805655169278133,5.2,1.407039102564165,2.8000000000000003,1.0454721651927286,2.8000000000000003,1.0454721651927308,0.8,0.5645483676690155,0.8,0.5645483676690175,2.0,0.8872139507342682,4.8,1.3546884228085718
LLaMAX Llama 2 7B Alpaca,6.345454545454546,3.2,1.1153546809230828,4.8,1.3546884228085667,15.2,2.2752024491765463,9.6,1.8668961419477177,5.2,1.407039102564165,4.3999999999999995,1.2997373846574956,3.5999999999999996,1.1805655169278133,4.8,1.3546884228085694,0.4,0.40000000000000063,4.8,1.3546884228085678,6.800000000000001,1.595374841074701
MaLA-500 Llama 2 10B v1,0.7272727272727274,0.0,0.0,0.4,0.4,0.4,0.4000000000000005,0.4,0.4000000000000002,1.6,0.795166118887434,1.6,0.7951661188874338,2.4,0.9699087026964253,0.4,0.4000000000000008,0.0,0.0,0.0,0.0,0.8,0.5645483676690172
MaLA-500 Llama 2 10B v2,0.7272727272727274,0.0,0.0,0.4,0.4,0.4,0.4000000000000005,0.4,0.4000000000000002,1.6,0.795166118887434,1.6,0.7951661188874338,2.4,0.9699087026964253,0.4,0.4000000000000008,0.0,0.0,0.0,0.0,0.8,0.5645483676690172
YaYi Llama 2 7B,7.2181818181818205,2.8000000000000003,1.0454721651927317,8.4,1.7578738526776347,16.8,2.369281320549258,12.4,2.0886382258673257,10.4,1.9345100974843858,4.8,1.3546884228085687,7.199999999999999,1.6381005750490105,2.0,0.8872139507342681,1.2,0.6900323023694297,3.2,1.1153546809230834,12.4,2.0886382258673257
TowerBase Llama 2 7B,6.163636363636365,3.5999999999999996,1.1805655169278133,8.0,1.7192507941462973,11.200000000000001,1.9985536939171458,8.4,1.7578738526776356,7.6,1.6793573067859633,3.5999999999999996,1.1805655169278133,8.4,1.7578738526776339,1.2,0.6900323023694283,0.8,0.5645483676690173,2.8000000000000003,1.0454721651927286,9.2,1.8316275379429643
TowerInstruct Llama 2 7B,8.236363636363638,1.2,0.6900323023694283,12.8,2.117208133633648,18.8,2.4760377727750487,15.2,2.2752024491765472,12.0,2.0593600596839923,2.4,0.9699087026964265,13.600000000000001,2.172334261705206,1.6,0.7951661188874346,1.2,0.690032302369429,3.2,1.1153546809230828,10.8,1.9669559381568749
EMMA-500 Llama 2 7B,18.090909090909093,8.4,1.7578738526776339,22.400000000000002,2.642136168734791,37.6,3.069633626739458,25.6,2.7657108718204912,21.6,2.6078657663732727,8.0,1.719250794146298,22.8,2.6587432487268496,21.2,2.590188469054115,2.4,0.9699087026964242,11.600000000000001,2.0293429803083867,16.400000000000002,2.346526100207676
Occiglot Mistral 7B v0.1,14.072727272727278,2.4,0.9699087026964271,21.6,2.607865766373272,33.2,2.9844039047465905,26.8,2.806876238252669,22.400000000000002,2.642136168734791,6.4,1.5510587134374139,17.2,2.391551394448622,3.2,1.1153546809230832,1.2,0.6900323023694271,6.0,1.5050117079158738,11.200000000000001,1.998553693917147
Occiglot Mistral 7B v0.1 Instruct,22.163636363636357,4.0,1.24184084113013,33.2,2.984403904746589,43.2,3.1391810765429398,42.0,3.127799950463661,31.6,2.946265759857866,16.8,2.369281320549257,24.4,2.721799546455318,5.6000000000000005,1.45706973368996,1.6,0.7951661188874322,8.4,1.7578738526776339,24.8,2.736749750486355
BLOOM 7B,2.2909090909090915,2.0,0.8872139507342682,1.6,0.7951661188874322,4.8,1.3546884228085687,2.4,0.9699087026964257,2.4,0.9699087026964277,0.4,0.4000000000000001,4.3999999999999995,1.299737384657497,1.6,0.7951661188874328,2.0,0.8872139507342682,2.0,0.8872139507342682,2.4,0.9699087026964253
BLOOMZ 7B,2.1454545454545464,2.0,0.8872139507342682,2.0,0.8872139507342685,2.4,0.969908702696424,3.2,1.1153546809230832,3.2,1.115354680923083,2.0,0.8872139507342682,1.6,0.7951661188874322,2.4,0.9699087026964225,2.0,0.8872139507342682,1.6,0.7951661188874347,1.2,0.69003230236943
YaYi 7B,3.0181818181818194,4.8,1.3546884228085672,3.2,1.1153546809230823,4.8,1.3546884228085674,3.5999999999999996,1.1805655169278133,4.0,1.2418408411301305,2.0,0.8872139507342688,1.2,0.6900323023694278,1.6,0.795166118887431,2.8000000000000003,1.0454721651927312,0.8,0.5645483676690181,6.0,1.505011707915873
Aya 23 8B,24.709090909090907,6.0,1.505011707915875,40.8,3.1145209846548507,48.8,3.167708558254709,41.199999999999996,3.1191596026022896,40.0,3.104602102825325,28.4,2.857695873043742,37.2,3.0630325944558314,5.6000000000000005,1.4570697336899585,2.4,0.9699087026964268,8.4,1.7578738526776347,6.800000000000001,1.595374841074702
Aya Expanse 8B,41.454545454545446,21.2,2.590188469054117,68.8,2.9361067575219817,78.8,2.5901884690541155,76.8,2.675007037486516,65.2,3.0186568464511696,29.599999999999998,2.8928939388379633,67.60000000000001,2.965829492454558,11.200000000000001,1.998553693917144,2.4,0.9699087026964254,20.0,2.534897002097908,2.8000000000000003,1.0454721651927303
Llama 3 8B,28.12727272727273,19.2,2.4960691989172012,38.4,3.082167911737537,54.0,3.1584653891498995,46.0,3.1584653891499004,36.0,3.0418764025174982,2.0,0.8872139507342682,38.0,3.076011604262604,25.2,2.751385193303135,6.4,1.551058713437415,39.2,3.0938207620401204,4.0,1.2418408411301305
Llama 3.1 8B,27.309090909090905,19.2,2.4960691989172004,42.0,3.127799950463662,52.800000000000004,3.1636489531544396,42.8,3.1355968923772606,34.8,3.01865684645117,2.8000000000000003,1.04547216519273,37.2,3.063032594455832,25.2,2.7513851933031344,5.6000000000000005,1.45706973368996,35.6,3.0343680657153214,1.6,0.7951661188874322
LLaMAX Llama 3 8B,19.96363636363637,12.4,2.0886382258673257,20.4,2.553712157454818,24.8,2.7367497504863554,25.6,2.7657108718204912,18.4,2.4555812994222563,18.8,2.476037772775051,20.4,2.5537121574548167,23.200000000000003,2.6750070374865165,3.5999999999999996,1.1805655169278133,30.8,2.9256928606501864,19.6,2.515685731325593
LLaMAX Llama 3 8B Alpaca,17.16363636363637,14.799999999999999,2.2503547243806152,18.0,2.4346890650293536,26.0,2.7797315752644303,22.400000000000002,2.6421361687347904,24.0,2.7065293652239,13.600000000000001,2.172334261705208,22.400000000000002,2.642136168734791,12.4,2.0886382258673257,7.199999999999999,1.6381005750490107,11.600000000000001,2.029342980308385,13.200000000000001,2.1450980824038117
Gemma 7B,35.78181818181819,36.4,3.0491555220405564,40.8,3.1145209846548494,60.8,3.0938207620401195,45.2,3.153986449255662,42.0,3.127799950463661,3.5999999999999996,1.1805655169278133,39.2,3.0938207620401195,38.800000000000004,3.088103874899392,24.8,2.7367497504863554,44.0,3.1457244522235723,4.8,1.3546884228085707
Gemma 2 9B,44.690909090909074,48.8,3.167708558254709,53.6,3.1603975145223737,72.0,2.845414827783232,60.4,3.0993197854577854,50.0,3.1686212526223896,2.0,0.8872139507342682,50.0,3.1686212526223896,53.6,3.160397514522375,44.4,3.148684942554575,55.2,3.1514387611153514,1.6,0.7951661188874325
Qwen 1.5 7B,30.363636363636363,12.8,2.11720813363365,43.2,3.1391810765429407,58.4,3.123585623701455,50.4,3.168519855119915,42.0,3.127799950463661,11.200000000000001,1.9985536939171444,36.8,3.0562070620993165,8.799999999999999,1.79530847770529,4.0,1.2418408411301298,25.6,2.7657108718204912,26.0,2.7797315752644307
