Model,Avg_flexible,bn,bn-stderr,de,de-stderr,en,en-stderr,es,es-stderr,fr,fr-stderr,ja,ja-stderr,ru,ru-stderr,sw,sw-stderr,te,te-stderr,th,th-stderr,zh,zh-stderr
Llama 2 7B,6.6909090909090905,2.8000000000000003,1.0454721651927317,8.0,1.7192507941462973,17.599999999999998,2.4133497525457104,11.200000000000001,1.9985536939171458,12.0,2.0593600596839927,2.4,0.9699087026964265,8.0,1.719250794146297,2.8000000000000003,1.0454721651927303,1.2,0.6900323023694271,0.8,0.5645483676690176,6.800000000000001,1.5953748410747017
Llama 2 7B Chat,10.218181818181819,2.8000000000000003,1.0454721651927317,16.8,2.3692813205492604,22.8,2.658743248726848,19.6,2.515685731325594,19.2,2.4960691989172017,2.4,0.9699087026964262,14.399999999999999,2.2249407735450206,0.8,0.5645483676690163,0.8,0.5645483676690158,2.8000000000000003,1.0454721651927295,10.0,1.9011727515734367
CodeLlama 2 7B,5.927272727272728,1.6,0.7951661188874323,8.799999999999999,1.79530847770529,12.8,2.1172081336336483,8.799999999999999,1.79530847770529,10.4,1.934510097484389,5.6000000000000005,1.45706973368996,6.0,1.5050117079158751,2.0,0.8872139507342681,1.2,0.6900323023694288,5.2,1.4070391025641644,2.8000000000000003,1.0454721651927292
LLaMAX Llama 2 7B,3.3454545454545452,2.8000000000000003,1.0454721651927283,3.5999999999999996,1.1805655169278133,6.0,1.5050117079158734,2.0,0.8872139507342682,7.199999999999999,1.6381005750490105,3.2,1.1153546809230823,2.4,0.9699087026964256,1.6,0.7951661188874323,0.8,0.5645483676690158,1.6,0.7951661188874349,5.6000000000000005,1.457069733689959
LLaMAX Llama 2 7B Alpaca,5.054545454545454,4.0,1.2418408411301307,3.5999999999999996,1.1805655169278133,10.8,1.9669559381568749,6.0,1.5050117079158771,6.4,1.5510587134374154,3.2,1.1153546809230828,4.3999999999999995,1.2997373846574931,4.8,1.3546884228085694,1.6,0.7951661188874317,3.2,1.1153546809230834,7.6,1.6793573067859668
MaLA-500 Llama 2 10B v1,0.9090909090909092,0.0,0.0,0.0,0.0,1.2,0.6900323023694288,2.0,0.8872139507342685,2.4,0.969908702696425,1.2,0.690032302369428,2.0,0.8872139507342688,0.4,0.4000000000000007,0.0,0.0,0.4,0.4000000000000001,0.4,0.40000000000000036
MaLA-500 Llama 2 10B v2,0.9090909090909092,0.0,0.0,0.0,0.0,1.2,0.6900323023694288,2.0,0.8872139507342685,2.4,0.969908702696425,1.2,0.690032302369428,2.0,0.8872139507342688,0.4,0.4000000000000007,0.0,0.0,0.4,0.4000000000000001,0.4,0.40000000000000036
YaYi Llama 2 7B,7.090909090909092,3.2,1.115354680923083,8.4,1.7578738526776352,15.6,2.2995023034068756,16.0,2.3232714782060646,10.4,1.93451009748439,5.2,1.4070391025641653,5.6000000000000005,1.4570697336899596,0.8,0.5645483676690175,1.2,0.6900323023694297,0.4,0.4000000000000007,11.200000000000001,1.998553693917145
TowerBase Llama 2 7B,6.1454545454545455,2.4,0.9699087026964269,8.4,1.7578738526776345,11.600000000000001,2.029342980308385,9.2,1.8316275379429643,8.799999999999999,1.7953084777052903,4.8,1.3546884228085694,10.0,1.9011727515734391,1.2,0.6900323023694274,0.8,0.5645483676690173,1.6,0.7951661188874319,8.799999999999999,1.795308477705292
TowerInstruct Llama 2 7B,7.236363636363636,1.6,0.7951661188874334,10.0,1.9011727515734358,15.2,2.2752024491765472,15.6,2.2995023034068742,12.8,2.117208133633647,1.6,0.7951661188874342,10.0,1.9011727515734373,1.6,0.7951661188874346,2.0,0.8872139507342682,2.0,0.8872139507342682,7.199999999999999,1.6381005750490105
