Model,Avg,et-acc,stderr,ht-acc,stderr,id-acc,stderr,it-acc,stderr,qu-acc,stderr,sw-acc,stderr,ta-acc,stderr,th-acc,stderr,tr-acc,stderr,vi-acc,stderr,zh-acc,stderr
Llama 2 7B,56.672727272727286,48.6,2.2374298166353186,50.6,2.2381462412439324,62.4,2.1683827539286114,65.8,2.1236147199899267,51.6,2.23716109825804,52.2,2.236139673920786,53.400000000000006,2.233126442325838,56.2,2.2210326363977413,54.800000000000004,2.227969410784343,62.8,2.16371979857224,65.0,2.13520917862231
Llama 2 7B Chat,55.854545454545466,47.8,2.2361396739207877,50.8,2.2380208834928035,62.4,2.1683827539286122,67.2,2.101702716517549,50.6,2.2381462412439324,52.2,2.236139673920787,50.6,2.2381462412439324,55.00000000000001,2.2270877485360434,55.2,2.226169729227013,61.199999999999996,2.1814300984787636,61.4,2.1793529219281167
CodeLlama 2 7B,54.69090909090909,46.800000000000004,2.2337186479044298,51.800000000000004,2.2368565117387993,57.4,2.2136577335085637,63.0,2.1613289165165788,51.6,2.23716109825804,48.8,2.237662679792717,55.00000000000001,2.2270877485360443,55.400000000000006,2.22521530785959,53.800000000000004,2.231833811987053,55.800000000000004,2.2231970696321124,62.2,2.1706550824518183
LLaMAX Llama 2 7B,54.38181818181819,49.2,2.2380208834928035,52.6,2.2352791650914163,53.800000000000004,2.231833811987052,52.6,2.235279165091416,51.4,2.2374298166353195,54.0,2.231133324528966,57.99999999999999,2.209471322976178,57.199999999999996,2.214979066386193,53.0,2.2342748192502846,53.0,2.234274819250284,63.4,2.1564276850201622
LLaMAX Llama 2 7B Alpaca,56.59999999999998,51.2,2.237662679792717,54.2,2.230396677426995,57.199999999999996,2.2149790663861926,61.0,2.1834685869369213,52.400000000000006,2.23572738810164,55.00000000000001,2.227087748536044,56.99999999999999,2.2162634426652836,56.39999999999999,2.21989546414768,55.2,2.226169729227013,55.2,2.226169729227013,67.80000000000001,2.0916668330019887
MaLA-500 Llama 2 10B v1,53.090909090909086,48.6,2.237429816635319,53.400000000000006,2.233126442325838,53.0,2.234274819250284,59.4,2.1983962090086338,50.2,2.238289498648352,52.800000000000004,2.2347949832668093,57.599999999999994,2.2122993778135402,54.2,2.2303966774269943,51.6,2.23716109825804,52.400000000000006,2.23572738810164,50.8,2.2380208834928035
MaLA-500 Llama 2 10B v2,53.090909090909086,48.6,2.237429816635319,53.400000000000006,2.233126442325838,53.0,2.234274819250284,59.4,2.1983962090086338,50.2,2.238289498648352,52.800000000000004,2.2347949832668093,57.599999999999994,2.2122993778135402,54.2,2.2303966774269943,51.6,2.23716109825804,52.400000000000006,2.23572738810164,50.8,2.2380208834928035
YaYi Llama 2 7B,56.70909090909091,48.8,2.237662679792717,50.8,2.2380208834928035,62.6,2.166071034720449,67.0,2.10496121661348,50.6,2.2381462412439324,53.2,2.23371864790443,55.2,2.226169729227013,54.2,2.2303966774269934,55.400000000000006,2.2252153078595898,63.2,2.158898256835355,62.8,2.16371979857224
TowerBase Llama 2 7B,56.327272727272735,46.0,2.2311333245289666,50.2,2.2382894986483532,60.199999999999996,2.1912377885779977,70.8,2.0354375480530087,52.2,2.2361396739207877,50.6,2.2381462412439324,54.400000000000006,2.229623834840706,56.00000000000001,2.2221331534143007,53.800000000000004,2.231833811987053,59.199999999999996,2.20009108938772,66.2,2.1175665695209407
TowerInstruct Llama 2 7B,57.054545454545455,48.8,2.237662679792717,51.6,2.23716109825804,62.0,2.1728881438701717,71.0,2.031317923174519,52.0,2.2365160424231334,51.0,2.237859698923078,54.2,2.2303966774269957,56.39999999999999,2.21989546414768,54.6,2.228814759117695,58.599999999999994,2.204949796982787,67.4,2.098400956239357
