Model,Avg,ar-acc,stderr,bg-acc,stderr,de-acc,stderr,el-acc,stderr,en-acc,stderr,es-acc,stderr,fr-acc,stderr,hi-acc,stderr,ru-acc,stderr,sw-acc,stderr,th-acc,stderr,tr-acc,stderr,ur-acc,stderr,vi-acc,stderr,zh-acc,stderr
Llama 2 7B,40.18741633199464,35.42168674698795,0.9586620142951844,42.65060240963855,0.9913215943570534,47.10843373493976,1.0005299609236085,36.666666666666664,0.9659161779186952,55.3012048192771,0.996558406254619,40.52208835341366,0.984036747758929,50.08032128514056,1.0022059935722383,37.71084337349397,0.9714644211180589,42.369477911646584,0.9904678540828903,34.93975903614458,0.9556642460138154,36.34538152610442,0.9641111987257547,37.269076305220885,0.9691761259693463,33.6144578313253,0.9468634669293529,36.626506024096386,0.9656930886014766,36.18473895582329,0.963191294489075
Llama 2 7B Chat,38.5809906291834,34.41767068273092,0.9522954469806036,37.06827309236948,0.9681074302261273,43.092369477911646,0.992597074152065,38.152610441767074,0.973666813309817,50.24096385542168,1.0021956483068097,39.437751004016064,0.9795906230304223,44.81927710843374,0.996812942690988,35.78313253012048,0.9608404733171223,42.088353413654616,0.9895812914052199,34.21686746987952,0.9509659143015629,33.49397590361446,0.9460223484996471,36.94779116465863,0.9674576085776451,33.89558232931727,0.9487992732201519,38.11244979919678,0.9734701300519853,36.94779116465863,0.9674576085776442
CodeLlama 2 7B,40.192771084337345,33.4136546184739,0.9454577602463621,37.75100401606426,0.9716681793584016,47.2289156626506,1.000666931397034,37.630522088353416,0.9710547744216045,54.77911646586345,0.9976187086803716,44.377510040160644,0.9958506938896476,49.19678714859438,1.0020779633955252,35.9437751004016,0.9617895762902742,46.06425702811245,0.9990976095711898,33.29317269076305,0.9446051001358232,35.02008032128514,0.9561713038161951,38.59437751004016,0.975783884206334,33.25301204819277,0.9443193365903343,40.401606425702816,0.9835674445385834,35.9437751004016,0.9617895762902742
LLaMAX Llama 2 7B,44.27041499330656,33.77510040160643,0.9479742273956475,46.82730923694779,1.0001876146466713,48.95582329317269,1.0019887205677431,42.570281124497996,0.9910810127822834,54.8995983935743,0.9973838691272277,47.59036144578313,1.0010427753210676,47.791164658634536,1.0012288645591791,45.502008032128515,0.9981437307797282,45.54216867469879,0.9982161147576312,43.05220883534137,0.9924844537285529,41.84738955823293,0.9887951897505947,43.29317269076306,0.9931501976863056,44.17670682730924,0.9953869607025616,43.855421686746986,0.9946106597784592,34.377510040160644,0.9520310502882936
LLaMAX Llama 2 7B Alpaca,45.087014725568935,34.41767068273092,0.9522954469806031,46.3855421686747,0.9995852282822371,49.75903614457831,1.0021956483068082,43.4136546184739,0.9934740969162538,58.11244979919679,0.9889278882314569,48.95582329317269,1.0019887205677431,51.967871485943775,1.0014307727112697,45.622489959839356,0.998358919769393,46.265060240963855,0.9994072620561413,43.57429718875502,0.993896670664134,40.803212851405625,0.9851078965044877,43.855421686746986,0.9946106597784594,44.29718875502008,0.9956671790008781,43.092369477911646,0.9925970741520651,35.78313253012048,0.9608404733171226
MaLA-500 Llama 2 10B v1,38.107095046854084,35.9437751004016,0.9617895762902742,41.204819277108435,0.9865802639096739,47.51004016064257,1.000963798302251,34.4578313253012,0.952559090011066,56.184738955823285,0.9945106474553733,34.096385542168676,0.9501591178361543,47.59036144578313,1.0010427753210678,33.65461847389558,0.9471423054177136,33.93574297188755,0.9490727635646755,35.22088353413655,0.9574259292495736,33.69477911646586,0.9474203778757714,33.81526104417671,0.9482500057981029,35.02008032128514,0.9561713038161952,36.02409638554217,0.9622597362374067,33.25301204819277,0.9443193365903342
MaLA-500 Llama 2 10B v2,38.107095046854084,35.9437751004016,0.9617895762902742,41.204819277108435,0.9865802639096739,47.51004016064257,1.000963798302251,34.4578313253012,0.952559090011066,56.184738955823285,0.9945106474553733,34.096385542168676,0.9501591178361543,47.59036144578313,1.0010427753210678,33.65461847389558,0.9471423054177136,33.93574297188755,0.9490727635646755,35.22088353413655,0.9574259292495736,33.69477911646586,0.9474203778757714,33.81526104417671,0.9482500057981029,35.02008032128514,0.9561713038161952,36.02409638554217,0.9622597362374067,33.25301204819277,0.9443193365903342
YaYi Llama 2 7B,41.279785809906286,34.13654618473896,0.950428807888022,42.610441767068274,0.9912016377459074,48.83534136546185,1.0019353650807714,37.34939759036144,0.969598596221976,56.46586345381526,0.9937920221480507,45.78313253012048,0.9986366819196476,51.0441767068273,1.0019887205677438,39.47791164658634,0.9797642521690861,46.265060240963855,0.9994072620561414,35.70281124497992,0.9603615216109775,35.622489959839356,0.9598796305792165,39.3574297188755,0.9792412871800314,33.49397590361446,0.9460223484996468,37.510040160642575,0.9704349720814057,35.54216867469879,0.9593947957927137
TowerBase Llama 2 7B,39.84471218206158,33.89558232931727,0.9487992732201522,41.365461847389554,0.9871502159099358,47.8714859437751,1.0012987604500423,35.26104417670683,0.9576746271768752,56.34538152610442,0.9941039791133135,41.68674698795181,0.9882576606533234,49.437751004016064,1.00214392037773,34.53815261044177,0.9530841175865183,45.94377510040161,0.9989039874786906,35.02008032128514,0.9561713038161954,34.77911646586345,0.9546411769843138,35.7429718875502,0.9606013646043455,33.373493975903614,0.9451743112667055,37.18875502008032,0.9687507958631806,35.22088353413655,0.9574259292495746
TowerInstruct Llama 2 7B,40.35609103078982,33.65461847389558,0.9471423054177133,42.93172690763053,0.9921425969589917,48.83534136546185,1.0019353650807712,34.97991967871486,0.9559181474778282,56.94779116465863,0.99248445372855,46.50602409638554,0.9997573294114558,46.42570281124498,0.9996432468510348,34.738955823293175,0.9543835409334902,46.265060240963855,0.9994072620561414,33.93574297188755,0.9490727635646755,33.89558232931727,0.9487992732201522,37.8714859437751,0.9722751990000571,33.53413654618474,0.9463034891512709,37.34939759036144,0.9695985962219761,37.46987951807229,0.970226947540722
EMMA-500 Llama 2 7B,45.137884872824635,34.77911646586345,0.9546411769843138,46.265060240963855,0.9994072620561413,47.06827309236948,1.0004830045543973,45.863453815261046,0.9987716412406575,53.77510040160642,0.9993466360872788,47.06827309236948,1.0004830045543978,46.86746987951807,1.0002384719762114,47.59036144578313,1.0010427753210676,46.54618473895582,0.9998133936261179,46.1847389558233,0.9992853579749954,41.967871485943775,0.9891912665432366,44.859437751004016,0.9968964736894265,45.98393574297189,0.9989691810169671,47.028112449799195,1.0004353982613856,35.22088353413655,0.9574259292495741
Occiglot Mistral 7B v0.1,42.35341365461848,33.855421686746986,0.9485250208516881,41.365461847389554,0.9871502159099367,51.76706827309236,1.001581206646116,37.71084337349397,0.9714644211180589,55.863453815261046,0.9952922349377752,51.64658634538153,1.0016636930829965,51.9277108433735,1.0014621554188647,35.7429718875502,0.9606013646043459,47.630522088353416,1.0010812905412065,34.69879518072289,0.9541251561568395,37.389558232931726,0.9698087600721307,43.01204819277108,0.9923711675408061,33.49397590361446,0.9460223484996468,38.634538152610446,0.9759721337538348,40.562248995983936,0.9841918156163165
