Model,Avg,ar-acc,stderr,en-acc,stderr,es-acc,stderr,eu-acc,stderr,hi-acc,stderr,id-acc,stderr,my-acc,stderr,ru-acc,stderr,sw-acc,stderr,te-acc,stderr,zh-acc,stderr
Llama 2 7B,57.55369713013656,49.90072799470549,1.286709995542293,77.0350761085374,1.0824012610568656,67.37260092653872,1.2065474625979047,50.36399735274652,1.286678434828923,53.73924553275976,1.2831093347016556,59.232296492389146,1.2645876488040304,48.047650562541364,1.285731253183685,63.00463269358041,1.242428600292387,50.49636002647253,1.2866491277589944,54.334877564526806,1.2818676452481959,59.56320317670417,1.2629580396570934
Llama 2 7B Chat,58.41405450935564,50.49636002647253,1.2866491277589942,78.6896095301125,1.053818759003458,67.1078755790867,1.209049923423951,50.827266710787555,1.28653640203754,54.070152217074785,1.2824422739625578,59.629384513567175,1.2626249735246584,48.64328259430841,1.2862387586650075,65.51952349437458,1.2231607060884921,52.01853077432163,1.2856635706498292,53.34215751158173,1.2838347934731675,62.210456651224355,1.2477542072994658
CodeLlama 2 7B,55.682570242464344,50.0992720052945,1.286709995542293,71.475843812045,1.1619771152072336,63.40172071475843,1.239630868439937,50.43017868960953,1.2866649085718849,49.70218398411647,1.2866897066011236,55.85704831237591,1.2778538985880639,49.371277299801456,1.2866108021218217,59.232296492389146,1.26458764880403,50.0330906684315,1.2867122498493424,53.73924553275976,1.2831093347016553,59.16611515552614,1.2649064392162175
LLaMAX Llama 2 7B,60.35737921906021,58.90138980807412,1.2661578894368943,75.5129053606883,1.1066002048086314,65.25479814692257,1.2253641527935288,54.46724023825281,1.2815666542067286,58.17339510258107,1.2694045150564697,60.62210456651225,1.257341591296517,52.48180013236268,1.2851264962354856,61.21773659827928,1.2539110696551459,57.180675049636,1.2733742799515158,59.29847782925215,1.2642664836816928,60.82064857710125,1.2562199063960646
LLaMAX Llama 2 7B Alpaca,63.82889116178328,60.35737921906023,1.2588033568434747,81.4692256783587,0.9998966288308814,70.68166776968894,1.1714791177625763,54.86432825943084,1.2806088966122402,62.14427531436135,1.2481818770003614,66.44606221045665,1.215116443816391,53.805426869622764,1.2829804720321696,67.43878226340172,1.205915022642229,60.1588352084712,1.2598743938252868,59.29847782925215,1.2642664836816924,65.45334215751159,1.223715495265506
MaLA-500 Llama 2 10B v1,53.07141567896034,48.18001323626737,1.2858598401831849,73.52746525479816,1.1353613010389592,62.40900066181337,1.2464563551981893,49.90072799470549,1.2867099955422936,47.650562541363335,1.2852912530051752,47.91528788881536,1.285593628288127,46.26075446724024,1.2831093347016562,54.930509596293845,1.2804412720126674,48.709463931171406,1.2862838605728473,52.614162806088686,1.2849526888044212,51.68762409000662,1.285979391997761
MaLA-500 Llama 2 10B v2,53.07141567896034,48.18001323626737,1.2858598401831849,73.52746525479816,1.1353613010389592,62.40900066181337,1.2464563551981893,49.90072799470549,1.2867099955422936,47.650562541363335,1.2852912530051752,47.91528788881536,1.285593628288127,46.26075446724024,1.2831093347016562,54.930509596293845,1.2804412720126674,48.709463931171406,1.2862838605728473,52.614162806088686,1.2849526888044212,51.68762409000662,1.285979391997761
YaYi Llama 2 7B,58.420070994525005,49.9669093315685,1.2867122498493417,79.08669755129054,1.0465851204168612,68.69622766379881,1.1933732786576634,50.628722700198544,1.2866108021218212,54.2686962276638,1.2820147204256243,61.4162806088683,1.2527237971556113,47.45201853077432,1.2850407240776847,64.79152878888154,1.2291198261674583,50.0330906684315,1.286712249849342,53.93778954334878,1.2827159238891912,62.34281932495036,1.246891448965936
TowerBase Llama 2 7B,57.782323566572416,49.172733289212445,1.28653640203754,77.23362011912641,1.0791000466746425,69.82131039046989,1.1812877848905314,50.76108537392455,1.2865634571114484,52.87888815354071,1.2845779070719496,58.305757776307075,1.2688354121607803,48.37855724685639,1.2860357805055864,67.0416942422237,1.2096687350589677,50.36399735274652,1.286678434828923,53.143613500992714,1.2841668760976905,58.50430178689609,1.2679641217262494
TowerInstruct Llama 2 7B,59.24432946272786,49.30509596293845,1.286588257096072,80.87359364659166,1.0121190200883532,71.608206485771,1.1603508867763144,50.69490403706155,1.2865882570960723,52.945069490403704,1.2844785490016997,59.56320317670417,1.2629580396570943,48.709463931171406,1.2862838605728475,69.35804103242886,1.1863646534622585,51.489080079417604,1.2861417842074003,54.13633355393779,1.282302034016982,63.00463269358041,1.2424286002923872
EMMA-500 Llama 2 7B,66.37988087359365,66.24751819986764,1.216884022167804,76.43944407677034,1.0921016244926303,70.01985440105891,1.1790683913007216,64.72534745201854,1.2296459788853749,64.92389146260754,1.2280597585639619,68.6300463269358,1.1940585179444287,57.90866975512905,1.2705145598630687,68.49768365320979,1.1954205387840942,64.72534745201854,1.229645978885373,64.65916611515553,1.2301695486460675,63.40172071475843,1.239630868439938
Occiglot Mistral 7B v0.1,58.09518079537934,51.29053606882859,1.2862838605728477,77.36598279285242,1.0768801472359075,73.39510258107214,1.1371712246562264,52.08471211118465,1.2855936282881268,51.489080079417604,1.2861417842074003,58.6366644606221,1.2673714851823759,47.98146922567836,1.285663570649829,62.93845135671741,1.2428861084065905,49.83454665784249,1.2867054869163346,53.143613500992714,1.2841668760976905,60.886829913964256,1.2558411693622686
Occiglot Mistral 7B v0.1 Instruct,59.38872510679262,52.68034414295168,1.2848623899505769,79.41760423560555,1.0404420103234537,74.1892786234282,1.126113517997177,53.01125082726671,1.2843769248432164,52.746525479814686,1.2847698270388215,60.35737921906023,1.2588033568434753,48.24619457313038,1.2859207453266304,65.05625413633356,1.2269893190222858,50.43017868960953,1.2866649085718849,53.805426869622764,1.2829804720321696,63.33553937789544,1.2401034429990703
BLOOM 7B,59.29847782925215,58.5704831237591,1.2676689821720668,70.54930509596294,1.1730206832052021,66.18133686300463,1.2174678796437401,57.24685638649901,1.2731259626982527,60.42356055592323,1.2584415320654347,64.52680344142951,1.231208952460384,48.908007941760424,1.2864056278255038,52.746525479814686,1.2847698270388224,53.93778954334878,1.2827159238891912,57.313037723362015,1.2728753181936876,61.87954996690933,1.2498678850934088
BLOOMZ 7B,57.12051019794237,56.51886168100596,1.2757297463352968,72.9980145598941,1.1425228637713691,64.59298477829252,1.2306905387461629,51.091992058239576,1.2864056278255038,57.64394440767704,1.271587138288144,55.327597617471866,1.2793874526730202,48.24619457313038,1.2859207453266304,52.150893448047654,1.2855214257296603,52.150893448047654,1.2855214257296605,58.17339510258107,1.2694045150564697,59.43084050297816,1.2636170220503922
